train_loop.thisRepN,train_loop.thisTrialN,train_loop.thisN,train_loop.thisIndex,button_press.keys,button_press.rt,date,frameRate,expName,session,participant,
0,0,0,0,,,2018_Oct_10_1651,59.9728704895,finger_tap,001,ch,
1,0,1,0,,,2018_Oct_10_1651,59.9728704895,finger_tap,001,ch,
2,0,2,0,,,2018_Oct_10_1651,59.9728704895,finger_tap,001,ch,
3,0,3,0,,,2018_Oct_10_1651,59.9728704895,finger_tap,001,ch,
4,0,4,0,,,2018_Oct_10_1651,59.9728704895,finger_tap,001,ch,
5,0,5,0,,,2018_Oct_10_1651,59.9728704895,finger_tap,001,ch,
6,0,6,0,,,2018_Oct_10_1651,59.9728704895,finger_tap,001,ch,
7,0,7,0,,,2018_Oct_10_1651,59.9728704895,finger_tap,001,ch,
8,0,8,0,,,2018_Oct_10_1651,59.9728704895,finger_tap,001,ch,
9,0,9,0,,,2018_Oct_10_1651,59.9728704895,finger_tap,001,ch,
10,0,10,0,,,2018_Oct_10_1651,59.9728704895,finger_tap,001,ch,
11,0,11,0,,,2018_Oct_10_1651,59.9728704895,finger_tap,001,ch,
12,0,12,0,,,2018_Oct_10_1651,59.9728704895,finger_tap,001,ch,
13,0,13,0,,,2018_Oct_10_1651,59.9728704895,finger_tap,001,ch,
14,0,14,0,,,2018_Oct_10_1651,59.9728704895,finger_tap,001,ch,
15,0,15,0,,,2018_Oct_10_1651,59.9728704895,finger_tap,001,ch,
16,0,16,0,,,2018_Oct_10_1651,59.9728704895,finger_tap,001,ch,
