6.0129 	WARNING 	User requested fullscreen with size [2160 1440], but screen is actually [3240, 2160]. Using actual size
7.1302 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color='black', colorSpace='named', fullscr=UNKNOWN, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x212F5F10>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([3240, 2160]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType=u'pyglet')
7.1303 	EXP 	window1: recordFrameIntervals = False
7.2966 	EXP 	window1: recordFrameIntervals = True
7.4800 	EXP 	window1: recordFrameIntervals = False
7.8734 	EXP 	Created instructions_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='instructions_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=newstr(...), units=u'norm', win=Window(...), wrapWidth=1)
7.8739 	EXP 	Created blank_iti = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='blank_iti', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text='', units=u'norm', win=Window(...), wrapWidth=1)
7.8784 	EXP 	Created crosshair = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=0.1, italic=False, name='crosshair', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text='+', units=u'norm', win=Window(...), wrapWidth=1)
7.9825 	EXP 	Sound  set volume 1.000
8.0004 	EXP 	instructions_text: autoDraw = True
8.3143 	DATA 	Keypress: space
8.3293 	EXP 	instructions_text: autoDraw = False
8.3293 	EXP 	blank_iti: autoDraw = True
9.3145 	EXP 	Created sequence: random, trialTypes=1, nReps=17, seed=None
9.3156 	EXP 	New trial (rep=0, index=0): None
9.3342 	EXP 	blank_iti: autoDraw = False
9.3342 	EXP 	blank_iti: autoDraw = False
9.3342 	EXP 	crosshair: autoDraw = True
9.3342 	EXP 	crosshair: autoDraw = True
9.6450 	DATA 	Keypress: space
9.9144 	EXP 	New trial (rep=1, index=0): None
9.9307 	EXP 	crosshair: autoDraw = True
10.0957 	DATA 	Keypress: space
10.5142 	EXP 	New trial (rep=2, index=0): None
10.5312 	EXP 	crosshair: autoDraw = True
10.6322 	DATA 	Keypress: space
11.1142 	EXP 	New trial (rep=3, index=0): None
11.1310 	EXP 	crosshair: autoDraw = True
11.2334 	DATA 	Keypress: space
11.7172 	EXP 	New trial (rep=4, index=0): None
11.7342 	EXP 	crosshair: autoDraw = True
11.8483 	DATA 	Keypress: space
12.3143 	EXP 	New trial (rep=5, index=0): None
12.3309 	EXP 	crosshair: autoDraw = True
12.4026 	DATA 	Keypress: space
12.9145 	EXP 	New trial (rep=6, index=0): None
12.9308 	EXP 	crosshair: autoDraw = True
13.0326 	DATA 	Keypress: space
13.5136 	EXP 	New trial (rep=7, index=0): None
13.5295 	EXP 	crosshair: autoDraw = True
13.5975 	DATA 	Keypress: space
14.1142 	EXP 	New trial (rep=8, index=0): None
14.1306 	EXP 	crosshair: autoDraw = True
14.1818 	DATA 	Keypress: space
14.7121 	EXP 	New trial (rep=9, index=0): None
14.7284 	EXP 	crosshair: autoDraw = True
14.7620 	DATA 	Keypress: space
15.3246 	EXP 	New trial (rep=10, index=0): None
15.3455 	EXP 	crosshair: autoDraw = True
15.3624 	DATA 	Keypress: space
15.9147 	EXP 	New trial (rep=11, index=0): None
15.9201 	DATA 	Keypress: space
15.9359 	EXP 	crosshair: autoDraw = True
16.4983 	DATA 	Keypress: space
16.5154 	EXP 	New trial (rep=12, index=0): None
16.5323 	EXP 	crosshair: autoDraw = True
17.0830 	DATA 	Keypress: space
17.1149 	EXP 	New trial (rep=13, index=0): None
17.1318 	EXP 	crosshair: autoDraw = True
17.7150 	DATA 	Keypress: space
17.7164 	EXP 	New trial (rep=14, index=0): None
17.7333 	EXP 	crosshair: autoDraw = True
18.2979 	DATA 	Keypress: space
18.3149 	EXP 	New trial (rep=15, index=0): None
18.3317 	EXP 	crosshair: autoDraw = True
18.8293 	DATA 	Keypress: space
18.9133 	EXP 	New trial (rep=16, index=0): None
18.9293 	EXP 	crosshair: autoDraw = True
19.4163 	DATA 	Keypress: space
20.0476 	DATA 	Keypress: space
20.6334 	DATA 	Keypress: space
21.2463 	DATA 	Keypress: space
21.8298 	DATA 	Keypress: space
22.4656 	DATA 	Keypress: space
23.0144 	DATA 	Keypress: space
23.6322 	DATA 	Keypress: space
24.2482 	DATA 	Keypress: space
24.8631 	DATA 	Keypress: space
25.5563 	DATA 	Keypress: space
26.0980 	DATA 	Keypress: escape
26.1883 	EXP 	window1: mouseVisible = True
