train_loop.thisRepN,train_loop.thisTrialN,train_loop.thisN,train_loop.thisIndex,button_press.keys,button_press.rt,date,frameRate,expName,session,participant,
0,0,0,0,,,2018_Oct_12_1233,60.228817569,finger_tap,002,pilot_shivani,
1,0,1,0,,,2018_Oct_12_1233,60.228817569,finger_tap,002,pilot_shivani,
2,0,2,0,,,2018_Oct_12_1233,60.228817569,finger_tap,002,pilot_shivani,
3,0,3,0,,,2018_Oct_12_1233,60.228817569,finger_tap,002,pilot_shivani,
4,0,4,0,,,2018_Oct_12_1233,60.228817569,finger_tap,002,pilot_shivani,
5,0,5,0,,,2018_Oct_12_1233,60.228817569,finger_tap,002,pilot_shivani,
6,0,6,0,,,2018_Oct_12_1233,60.228817569,finger_tap,002,pilot_shivani,
7,0,7,0,,,2018_Oct_12_1233,60.228817569,finger_tap,002,pilot_shivani,
8,0,8,0,,,2018_Oct_12_1233,60.228817569,finger_tap,002,pilot_shivani,
9,0,9,0,,,2018_Oct_12_1233,60.228817569,finger_tap,002,pilot_shivani,
10,0,10,0,,,2018_Oct_12_1233,60.228817569,finger_tap,002,pilot_shivani,
11,0,11,0,,,2018_Oct_12_1233,60.228817569,finger_tap,002,pilot_shivani,
12,0,12,0,,,2018_Oct_12_1233,60.228817569,finger_tap,002,pilot_shivani,
13,0,13,0,,,2018_Oct_12_1233,60.228817569,finger_tap,002,pilot_shivani,
14,0,14,0,,,2018_Oct_12_1233,60.228817569,finger_tap,002,pilot_shivani,
15,0,15,0,,,2018_Oct_12_1233,60.228817569,finger_tap,002,pilot_shivani,
16,0,16,0,,,2018_Oct_12_1233,60.228817569,finger_tap,002,pilot_shivani,
