1.3681 	ERROR 	avbin.dll failed to load. Try importing psychopy.visual
  as the first library (before anything that uses scipy)
  and make sure that avbin is installed.
8.2905 	WARNING 	User requested fullscreen with size [2160 1440], but screen is actually [1024, 768]. Using actual size
8.9989 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color='black', colorSpace='named', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x1EFFFBD0>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1024,  768]), stereo=False, units=u'norm', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
8.9990 	EXP 	window1: mouseVisible = False
8.9990 	EXP 	window1: recordFrameIntervals = False
9.1646 	EXP 	window1: recordFrameIntervals = True
9.3473 	EXP 	window1: recordFrameIntervals = False
9.5298 	EXP 	Created instructions_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='instructions_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
9.5303 	EXP 	Created blank_iti = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='blank_iti', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text='', units=u'norm', win=Window(...), wrapWidth=1)
9.5361 	EXP 	Created crosshair = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=0.1, italic=False, name='crosshair', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
10.4329 	EXP 	Set  sound=C
10.4362 	EXP 	Set  sound=clock-tick1.wav
10.4363 	EXP 	Sound  set volume 1.000
10.4369 	EXP 	window1: blendMode = 'avg'
10.4437 	EXP 	instructions_text: autoDraw = True
10.4440 	EXP 	window1: blendMode = 'avg'
10.4636 	EXP 	window1: blendMode = 'avg'
10.4806 	EXP 	window1: blendMode = 'avg'
10.4972 	EXP 	window1: blendMode = 'avg'
10.5138 	EXP 	window1: blendMode = 'avg'
10.5305 	EXP 	window1: blendMode = 'avg'
10.5472 	EXP 	window1: blendMode = 'avg'
10.5638 	EXP 	window1: blendMode = 'avg'
10.5809 	EXP 	window1: blendMode = 'avg'
10.5983 	EXP 	window1: blendMode = 'avg'
10.6149 	EXP 	window1: blendMode = 'avg'
10.6318 	EXP 	window1: blendMode = 'avg'
10.6485 	EXP 	window1: blendMode = 'avg'
10.6649 	EXP 	window1: blendMode = 'avg'
10.6816 	EXP 	window1: blendMode = 'avg'
10.6984 	EXP 	window1: blendMode = 'avg'
10.7150 	EXP 	window1: blendMode = 'avg'
10.7318 	EXP 	window1: blendMode = 'avg'
10.7484 	EXP 	window1: blendMode = 'avg'
10.7649 	EXP 	window1: blendMode = 'avg'
10.7816 	EXP 	window1: blendMode = 'avg'
10.7983 	EXP 	window1: blendMode = 'avg'
10.8150 	EXP 	window1: blendMode = 'avg'
10.8317 	EXP 	window1: blendMode = 'avg'
10.8483 	EXP 	window1: blendMode = 'avg'
10.8649 	EXP 	window1: blendMode = 'avg'
10.8818 	EXP 	window1: blendMode = 'avg'
10.8983 	EXP 	window1: blendMode = 'avg'
10.9148 	EXP 	window1: blendMode = 'avg'
10.9322 	EXP 	window1: blendMode = 'avg'
10.9483 	EXP 	window1: blendMode = 'avg'
10.9650 	EXP 	window1: blendMode = 'avg'
10.9827 	EXP 	window1: blendMode = 'avg'
10.9984 	EXP 	window1: blendMode = 'avg'
11.0149 	EXP 	window1: blendMode = 'avg'
11.0322 	EXP 	window1: blendMode = 'avg'
11.0483 	EXP 	window1: blendMode = 'avg'
11.0649 	EXP 	window1: blendMode = 'avg'
11.0819 	EXP 	window1: blendMode = 'avg'
11.0983 	EXP 	window1: blendMode = 'avg'
11.1149 	EXP 	window1: blendMode = 'avg'
11.1326 	EXP 	window1: blendMode = 'avg'
11.1483 	EXP 	window1: blendMode = 'avg'
11.1648 	EXP 	window1: blendMode = 'avg'
11.1824 	EXP 	window1: blendMode = 'avg'
11.1983 	EXP 	window1: blendMode = 'avg'
11.2150 	EXP 	window1: blendMode = 'avg'
11.2321 	EXP 	window1: blendMode = 'avg'
11.2483 	EXP 	window1: blendMode = 'avg'
11.2649 	EXP 	window1: blendMode = 'avg'
11.2819 	EXP 	window1: blendMode = 'avg'
11.2983 	EXP 	window1: blendMode = 'avg'
11.3149 	EXP 	window1: blendMode = 'avg'
11.3318 	EXP 	window1: blendMode = 'avg'
11.3482 	EXP 	window1: blendMode = 'avg'
11.3649 	EXP 	window1: blendMode = 'avg'
11.3814 	EXP 	window1: blendMode = 'avg'
11.3971 	EXP 	window1: blendMode = 'avg'
11.4138 	EXP 	window1: blendMode = 'avg'
11.4306 	EXP 	window1: blendMode = 'avg'
11.4477 	EXP 	window1: blendMode = 'avg'
11.4647 	EXP 	window1: blendMode = 'avg'
11.4813 	EXP 	window1: blendMode = 'avg'
11.4979 	EXP 	window1: blendMode = 'avg'
11.5147 	EXP 	window1: blendMode = 'avg'
11.5314 	EXP 	window1: blendMode = 'avg'
11.5481 	EXP 	window1: blendMode = 'avg'
11.5646 	EXP 	window1: blendMode = 'avg'
11.5813 	EXP 	window1: blendMode = 'avg'
11.5981 	EXP 	window1: blendMode = 'avg'
11.6146 	EXP 	window1: blendMode = 'avg'
11.6314 	EXP 	window1: blendMode = 'avg'
11.6482 	EXP 	window1: blendMode = 'avg'
11.6646 	EXP 	window1: blendMode = 'avg'
11.6812 	EXP 	window1: blendMode = 'avg'
11.6982 	EXP 	window1: blendMode = 'avg'
11.7148 	EXP 	window1: blendMode = 'avg'
11.7314 	EXP 	window1: blendMode = 'avg'
11.7480 	EXP 	window1: blendMode = 'avg'
11.7646 	EXP 	window1: blendMode = 'avg'
11.7814 	EXP 	window1: blendMode = 'avg'
11.7980 	EXP 	window1: blendMode = 'avg'
11.8147 	EXP 	window1: blendMode = 'avg'
11.8313 	EXP 	window1: blendMode = 'avg'
11.8479 	EXP 	window1: blendMode = 'avg'
11.8647 	EXP 	window1: blendMode = 'avg'
11.8813 	EXP 	window1: blendMode = 'avg'
11.8980 	EXP 	window1: blendMode = 'avg'
11.9147 	EXP 	window1: blendMode = 'avg'
11.9313 	EXP 	window1: blendMode = 'avg'
11.9480 	EXP 	window1: blendMode = 'avg'
11.9647 	EXP 	window1: blendMode = 'avg'
11.9812 	EXP 	window1: blendMode = 'avg'
11.9981 	EXP 	window1: blendMode = 'avg'
12.0147 	EXP 	window1: blendMode = 'avg'
12.0313 	EXP 	window1: blendMode = 'avg'
12.0480 	EXP 	window1: blendMode = 'avg'
12.0647 	EXP 	window1: blendMode = 'avg'
12.0814 	EXP 	window1: blendMode = 'avg'
12.0979 	EXP 	window1: blendMode = 'avg'
12.1145 	EXP 	window1: blendMode = 'avg'
12.1313 	EXP 	window1: blendMode = 'avg'
12.1481 	EXP 	window1: blendMode = 'avg'
12.1647 	EXP 	window1: blendMode = 'avg'
12.1812 	EXP 	window1: blendMode = 'avg'
12.1980 	EXP 	window1: blendMode = 'avg'
12.2147 	EXP 	window1: blendMode = 'avg'
12.2313 	EXP 	window1: blendMode = 'avg'
12.2481 	EXP 	window1: blendMode = 'avg'
12.2648 	EXP 	window1: blendMode = 'avg'
12.2813 	EXP 	window1: blendMode = 'avg'
12.2979 	EXP 	window1: blendMode = 'avg'
12.3145 	EXP 	window1: blendMode = 'avg'
12.3314 	EXP 	window1: blendMode = 'avg'
12.3481 	EXP 	window1: blendMode = 'avg'
12.3646 	EXP 	window1: blendMode = 'avg'
12.3813 	EXP 	window1: blendMode = 'avg'
12.3971 	EXP 	window1: blendMode = 'avg'
12.4137 	EXP 	window1: blendMode = 'avg'
12.4306 	EXP 	window1: blendMode = 'avg'
12.4479 	EXP 	window1: blendMode = 'avg'
12.4646 	EXP 	window1: blendMode = 'avg'
12.4818 	EXP 	window1: blendMode = 'avg'
12.4981 	EXP 	window1: blendMode = 'avg'
12.5147 	EXP 	window1: blendMode = 'avg'
12.5313 	EXP 	window1: blendMode = 'avg'
12.5483 	EXP 	window1: blendMode = 'avg'
12.5646 	EXP 	window1: blendMode = 'avg'
12.5819 	EXP 	window1: blendMode = 'avg'
12.5981 	EXP 	window1: blendMode = 'avg'
12.6147 	EXP 	window1: blendMode = 'avg'
12.6318 	EXP 	window1: blendMode = 'avg'
12.6481 	EXP 	window1: blendMode = 'avg'
12.6648 	EXP 	window1: blendMode = 'avg'
12.6816 	EXP 	window1: blendMode = 'avg'
12.6979 	EXP 	window1: blendMode = 'avg'
12.7148 	EXP 	window1: blendMode = 'avg'
12.7314 	EXP 	window1: blendMode = 'avg'
12.7480 	EXP 	window1: blendMode = 'avg'
12.7646 	EXP 	window1: blendMode = 'avg'
12.7812 	EXP 	window1: blendMode = 'avg'
12.7981 	EXP 	window1: blendMode = 'avg'
12.8147 	EXP 	window1: blendMode = 'avg'
12.8313 	EXP 	window1: blendMode = 'avg'
12.8481 	EXP 	window1: blendMode = 'avg'
12.8651 	EXP 	window1: blendMode = 'avg'
12.8812 	EXP 	window1: blendMode = 'avg'
12.8980 	EXP 	window1: blendMode = 'avg'
12.9146 	EXP 	window1: blendMode = 'avg'
12.9314 	EXP 	window1: blendMode = 'avg'
12.9480 	EXP 	window1: blendMode = 'avg'
12.9646 	EXP 	window1: blendMode = 'avg'
12.9812 	EXP 	window1: blendMode = 'avg'
12.9980 	EXP 	window1: blendMode = 'avg'
13.0144 	EXP 	window1: blendMode = 'avg'
13.0313 	EXP 	window1: blendMode = 'avg'
13.0479 	EXP 	window1: blendMode = 'avg'
13.0646 	EXP 	window1: blendMode = 'avg'
13.0814 	EXP 	window1: blendMode = 'avg'
13.0978 	EXP 	window1: blendMode = 'avg'
13.1151 	EXP 	window1: blendMode = 'avg'
13.1314 	EXP 	window1: blendMode = 'avg'
13.1479 	EXP 	window1: blendMode = 'avg'
13.1646 	EXP 	window1: blendMode = 'avg'
13.1813 	EXP 	window1: blendMode = 'avg'
13.1979 	EXP 	window1: blendMode = 'avg'
13.2147 	EXP 	window1: blendMode = 'avg'
13.2311 	EXP 	window1: blendMode = 'avg'
13.2479 	EXP 	window1: blendMode = 'avg'
13.2646 	EXP 	window1: blendMode = 'avg'
13.2811 	EXP 	window1: blendMode = 'avg'
13.2979 	EXP 	window1: blendMode = 'avg'
13.3152 	EXP 	window1: blendMode = 'avg'
13.3313 	EXP 	window1: blendMode = 'avg'
13.3480 	EXP 	window1: blendMode = 'avg'
13.3646 	EXP 	window1: blendMode = 'avg'
13.3812 	EXP 	window1: blendMode = 'avg'
13.3969 	EXP 	window1: blendMode = 'avg'
13.4136 	EXP 	window1: blendMode = 'avg'
13.4303 	EXP 	window1: blendMode = 'avg'
13.4469 	EXP 	window1: blendMode = 'avg'
13.4637 	EXP 	window1: blendMode = 'avg'
13.4810 	EXP 	window1: blendMode = 'avg'
13.4977 	EXP 	window1: blendMode = 'avg'
13.5144 	EXP 	window1: blendMode = 'avg'
13.5316 	EXP 	window1: blendMode = 'avg'
13.5478 	EXP 	window1: blendMode = 'avg'
13.5643 	EXP 	window1: blendMode = 'avg'
13.5817 	EXP 	window1: blendMode = 'avg'
13.5977 	EXP 	window1: blendMode = 'avg'
13.6143 	EXP 	window1: blendMode = 'avg'
13.6312 	EXP 	window1: blendMode = 'avg'
13.6478 	EXP 	window1: blendMode = 'avg'
13.6646 	EXP 	window1: blendMode = 'avg'
13.6810 	EXP 	window1: blendMode = 'avg'
13.6977 	EXP 	window1: blendMode = 'avg'
13.7142 	EXP 	window1: blendMode = 'avg'
13.7311 	EXP 	window1: blendMode = 'avg'
13.7478 	EXP 	window1: blendMode = 'avg'
13.7642 	EXP 	window1: blendMode = 'avg'
13.7811 	EXP 	window1: blendMode = 'avg'
13.7978 	EXP 	window1: blendMode = 'avg'
13.8143 	EXP 	window1: blendMode = 'avg'
13.8312 	EXP 	window1: blendMode = 'avg'
13.8483 	EXP 	window1: blendMode = 'avg'
13.8645 	EXP 	window1: blendMode = 'avg'
13.8811 	EXP 	window1: blendMode = 'avg'
13.8979 	EXP 	window1: blendMode = 'avg'
13.9143 	EXP 	window1: blendMode = 'avg'
13.9311 	EXP 	window1: blendMode = 'avg'
13.9479 	EXP 	window1: blendMode = 'avg'
13.9644 	EXP 	window1: blendMode = 'avg'
13.9809 	DATA 	Keypress: space
13.9817 	EXP 	window1: blendMode = 'avg'
13.9973 	EXP 	instructions_text: autoDraw = False
13.9973 	EXP 	blank_iti: autoDraw = True
13.9978 	EXP 	window1: blendMode = 'avg'
14.0141 	EXP 	window1: blendMode = 'avg'
14.0308 	EXP 	window1: blendMode = 'avg'
14.0475 	EXP 	window1: blendMode = 'avg'
14.0643 	EXP 	window1: blendMode = 'avg'
14.0810 	EXP 	window1: blendMode = 'avg'
14.0976 	EXP 	window1: blendMode = 'avg'
14.1140 	EXP 	window1: blendMode = 'avg'
14.1309 	EXP 	window1: blendMode = 'avg'
14.1476 	EXP 	window1: blendMode = 'avg'
14.1641 	EXP 	window1: blendMode = 'avg'
14.1808 	EXP 	window1: blendMode = 'avg'
