train_loop.thisRepN,train_loop.thisTrialN,train_loop.thisN,train_loop.thisIndex,date,frameRate,expName,session,participant,
0,0,0,0,2018_Oct_10_1704,60.327390787,finger_tap,001,testingNOW,
1,0,1,0,2018_Oct_10_1704,60.327390787,finger_tap,001,testingNOW,
2,0,2,0,2018_Oct_10_1704,60.327390787,finger_tap,001,testingNOW,
3,0,3,0,2018_Oct_10_1704,60.327390787,finger_tap,001,testingNOW,
4,0,4,0,2018_Oct_10_1704,60.327390787,finger_tap,001,testingNOW,
5,0,5,0,2018_Oct_10_1704,60.327390787,finger_tap,001,testingNOW,
6,0,6,0,2018_Oct_10_1704,60.327390787,finger_tap,001,testingNOW,
7,0,7,0,2018_Oct_10_1704,60.327390787,finger_tap,001,testingNOW,
8,0,8,0,2018_Oct_10_1704,60.327390787,finger_tap,001,testingNOW,
9,0,9,0,2018_Oct_10_1704,60.327390787,finger_tap,001,testingNOW,
10,0,10,0,2018_Oct_10_1704,60.327390787,finger_tap,001,testingNOW,
11,0,11,0,2018_Oct_10_1704,60.327390787,finger_tap,001,testingNOW,
12,0,12,0,2018_Oct_10_1704,60.327390787,finger_tap,001,testingNOW,
13,0,13,0,2018_Oct_10_1704,60.327390787,finger_tap,001,testingNOW,
14,0,14,0,2018_Oct_10_1704,60.327390787,finger_tap,001,testingNOW,
15,0,15,0,2018_Oct_10_1704,60.327390787,finger_tap,001,testingNOW,
16,0,16,0,2018_Oct_10_1704,60.327390787,finger_tap,001,testingNOW,
