6.5069 	WARNING 	User requested fullscreen with size [2160 1440], but screen is actually [3240, 2160]. Using actual size
8.1777 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color='black', colorSpace='named', fullscr=UNKNOWN, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x20D46F10>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([3240, 2160]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType=u'pyglet')
8.1778 	EXP 	window1: recordFrameIntervals = False
8.3429 	EXP 	window1: recordFrameIntervals = True
8.5259 	EXP 	window1: recordFrameIntervals = False
8.8594 	EXP 	Created instructions_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='instructions_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=newstr(...), units=u'norm', win=Window(...), wrapWidth=1)
8.8599 	EXP 	Created blank_iti = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='blank_iti', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text='', units=u'norm', win=Window(...), wrapWidth=1)
8.8649 	EXP 	Created crosshair = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=0.1, italic=False, name='crosshair', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text='+', units=u'norm', win=Window(...), wrapWidth=1)
8.9641 	EXP 	Sound  set volume 1.000
8.9781 	EXP 	instructions_text: autoDraw = True
9.4269 	DATA 	Keypress: space
9.4427 	EXP 	instructions_text: autoDraw = False
9.4427 	EXP 	blank_iti: autoDraw = True
10.4290 	EXP 	Created sequence: random, trialTypes=1, nReps=17, seed=None
10.4301 	EXP 	New trial (rep=0, index=0): None
10.4467 	EXP 	blank_iti: autoDraw = False
10.4467 	EXP 	blank_iti: autoDraw = False
10.4467 	EXP 	crosshair: autoDraw = True
10.4467 	EXP 	crosshair: autoDraw = True
10.7483 	DATA 	Keypress: space
11.0283 	EXP 	New trial (rep=1, index=0): None
11.0437 	EXP 	crosshair: autoDraw = True
11.1817 	DATA 	Keypress: space
11.6263 	EXP 	New trial (rep=2, index=0): None
11.6427 	EXP 	crosshair: autoDraw = True
11.7262 	DATA 	Keypress: space
12.2287 	EXP 	New trial (rep=3, index=0): None
12.2450 	EXP 	crosshair: autoDraw = True
12.3114 	DATA 	Keypress: space
12.8286 	EXP 	New trial (rep=4, index=0): None
12.8608 	EXP 	crosshair: autoDraw = True
12.8943 	DATA 	Keypress: space
13.4289 	EXP 	New trial (rep=5, index=0): None
13.4459 	EXP 	crosshair: autoDraw = True
13.4981 	DATA 	Keypress: space
14.0290 	EXP 	New trial (rep=6, index=0): None
14.0459 	EXP 	crosshair: autoDraw = True
14.1143 	DATA 	Keypress: space
14.6293 	EXP 	New trial (rep=7, index=0): None
14.6566 	EXP 	crosshair: autoDraw = True
14.7105 	DATA 	Keypress: space
15.2283 	EXP 	New trial (rep=8, index=0): None
15.2444 	EXP 	crosshair: autoDraw = True
15.2780 	DATA 	Keypress: space
15.8308 	EXP 	New trial (rep=9, index=0): None
15.8486 	EXP 	crosshair: autoDraw = True
15.9128 	DATA 	Keypress: space
16.4294 	EXP 	New trial (rep=10, index=0): None
16.4493 	EXP 	crosshair: autoDraw = True
16.4960 	DATA 	Keypress: space
17.0275 	DATA 	Keypress: space
17.0286 	EXP 	New trial (rep=11, index=0): None
17.0447 	EXP 	crosshair: autoDraw = True
17.6293 	EXP 	New trial (rep=12, index=0): None
17.6477 	EXP 	crosshair: autoDraw = True
17.6485 	DATA 	Keypress: space
18.2293 	EXP 	New trial (rep=13, index=0): None
18.2466 	EXP 	crosshair: autoDraw = True
18.2748 	DATA 	Keypress: space
18.8299 	EXP 	New trial (rep=14, index=0): None
18.8370 	DATA 	Keypress: space
18.8514 	EXP 	crosshair: autoDraw = True
19.4295 	EXP 	New trial (rep=15, index=0): None
19.4466 	EXP 	crosshair: autoDraw = True
19.4475 	DATA 	Keypress: space
20.0296 	EXP 	New trial (rep=16, index=0): None
20.0486 	EXP 	crosshair: autoDraw = True
20.0755 	DATA 	Keypress: space
20.6626 	DATA 	Keypress: space
21.2955 	DATA 	Keypress: space
21.8770 	DATA 	Keypress: space
22.4334 	DATA 	Keypress: space
23.0143 	DATA 	Keypress: space
23.5953 	DATA 	Keypress: space
24.1336 	DATA 	Keypress: space
24.7132 	DATA 	Keypress: space
25.2794 	DATA 	Keypress: space
25.8461 	DATA 	Keypress: space
26.3485 	DATA 	Keypress: space
26.8613 	DATA 	Keypress: space
27.4958 	DATA 	Keypress: space
27.8830 	DATA 	Keypress: space
28.0468 	DATA 	Keypress: space
28.2317 	DATA 	Keypress: space
28.3968 	DATA 	Keypress: space
28.5459 	DATA 	Keypress: space
28.7129 	DATA 	Keypress: space
28.8671 	DATA 	Keypress: space
29.0458 	DATA 	Keypress: space
29.2113 	DATA 	Keypress: space
29.6123 	DATA 	Keypress: space
30.0128 	DATA 	Keypress: space
30.2963 	DATA 	Keypress: space
30.5628 	DATA 	Keypress: space
30.8568 	DATA 	Keypress: space
30.9635 	DATA 	Keypress: space
31.0970 	DATA 	Keypress: space
31.6788 	DATA 	Keypress: escape
31.7343 	EXP 	window1: mouseVisible = True
