block,sep_dur,Tx,trial,stimulus,cond
260,short,t1,1,W,distractor
260,short,t1,2,V,distractor
260,short,t1,3,Z,distractor
260,short,t1,4,C,distractor
260,short,t1,5,5,target
260,short,t1,6,S,distractor
260,short,t1,7,Z,distractor
260,short,t1,8,U,distractor
260,short,t1,9, ,mask
260,short,t1,10,S,distractor
260,short,t1,11,S,distractor
260,short,t1,12,G,distractor
260,short,t1,13,A,distractor
260,short,t1,14,W,distractor
260,short,t1,15,E,distractor
260,short,t1,16,P,distractor
260,short,t1,17,O,distractor
260,short,t1,18,I,distractor
