5.2764 	WARNING 	unknown type:participant
5.2764 	WARNING 	unknown type:session
5.9031 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color='white', colorSpace='named', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x11d870910>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([2560, 1080]), stereo=False, units=u'norm', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
5.9032 	EXP 	window1: recordFrameIntervals = False
6.0693 	EXP 	window1: recordFrameIntervals = True
6.2528 	EXP 	window1: recordFrameIntervals = False
6.8085 	EXP 	Created instruct_p1 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, name='instruct_p1', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([0., 0., 0.]), text=newstr(...), units=u'norm', win=Window(...), wrapWidth=1)
6.8247 	EXP 	Created ready = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='ready', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([0., 0., 0.]), text='default text', units=u'norm', win=Window(...), wrapWidth=1)
6.8303 	EXP 	Created go = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='go', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([0., 0., 0.]), text='GO', units=u'norm', win=Window(...), wrapWidth=1)
6.8311 	EXP 	Created gap = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='gap', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='', units=u'norm', win=Window(...), wrapWidth=1)
7.0036 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='grey', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=2, italic=False, name='text', opacity=0.0, ori=0, pos=array([0., 0.]), rgb=array([128., 128., 128.]), text='default text', units=u'norm', win=Window(...), wrapWidth=1)
7.0133 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([0., 0., 0.]), text='default text', units=u'norm', win=Window(...), wrapWidth=1)
7.0164 	EXP 	Created mask = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='mask', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text=' ', units=u'norm', win=Window(...), wrapWidth=1)
7.0384 	EXP 	Created Probe_t1 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='Probe_t1', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([0., 0., 0.]), text='What numbers did you see?', units=u'norm', win=Window(...), wrapWidth=1)
7.0541 	EXP 	Created Probe_t2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='Probe_t2', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([0., 0., 0.]), text='What numbers did you see?', units=u'norm', win=Window(...), wrapWidth=1)
7.0548 	EXP 	Created blank = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='blank', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='', units=u'norm', win=Window(...), wrapWidth=1)
7.0693 	EXP 	instruct_p1: autoDraw = True
9.1897 	DATA 	Keypress: space
9.2036 	EXP 	Created sequence: sequential, trialTypes=1, nReps=2, seed=None
9.2038 	EXP 	New trial (rep=0, index=0): None
9.2346 	EXP 	instruct_p1: autoDraw = False
9.2346 	EXP 	ready: text = 'Block 1\n\nReady?'
9.2346 	EXP 	ready: autoDraw = True
10.2190 	EXP 	ready: autoDraw = False
10.2362 	EXP 	go: autoDraw = True
10.7195 	EXP 	go: autoDraw = False
10.7357 	EXP 	gap: autoDraw = True
10.9101 	EXP 	Created sequence: random, trialTypes=1, nReps=528, seed=None
10.9140 	EXP 	New trial (rep=0, index=0): None
10.9338 	EXP 	ready: autoDraw = False
10.9338 	EXP 	go: autoDraw = False
10.9338 	EXP 	gap: autoDraw = False
10.9338 	EXP 	text: text = 1
10.9338 	EXP 	text: autoDraw = True
11.1080 	EXP 	Imported tmp_stimuli.csv as conditions, 16 conditions, 7 params
11.1083 	EXP 	Created sequence: sequential, trialTypes=16, nReps=1, seed=None
11.1088 	EXP 	New trial (rep=0, index=0): OrderedDict([(u'block', 1), (u'trial', 1), (u'sep_dur', u'short'), (u'Tx', u't1'), (u'stim_count', 1), (u'stimulus', u'V'), (u'cond', u'distractor')])
11.1190 	EXP 	text: autoDraw = False
11.1190 	EXP 	text: autoDraw = False
11.1190 	EXP 	text_2: text = u'V'
11.1190 	EXP 	text_2: autoDraw = True
11.1696 	EXP 	text_2: autoDraw = False
11.1860 	EXP 	mask: autoDraw = True
11.1868 	EXP 	New trial (rep=0, index=1): OrderedDict([(u'block', 1), (u'trial', 1), (u'sep_dur', u'short'), (u'Tx', u't1'), (u'stim_count', 2), (u'stimulus', u'P'), (u'cond', u'distractor')])
11.2032 	EXP 	mask: autoDraw = False
11.2032 	EXP 	text_2: autoDraw = False
11.2032 	EXP 	mask: autoDraw = False
11.2032 	EXP 	text_2: text = u'P'
11.2032 	EXP 	text_2: autoDraw = True
11.2534 	EXP 	text_2: autoDraw = False
11.2696 	EXP 	mask: autoDraw = True
11.2703 	EXP 	New trial (rep=0, index=2): OrderedDict([(u'block', 1), (u'trial', 1), (u'sep_dur', u'short'), (u'Tx', u't1'), (u'stim_count', 3), (u'stimulus', u'U'), (u'cond', u'distractor')])
11.2862 	EXP 	mask: autoDraw = False
11.2862 	EXP 	text_2: autoDraw = False
11.2862 	EXP 	mask: autoDraw = False
11.2862 	EXP 	text_2: text = u'U'
11.2862 	EXP 	text_2: autoDraw = True
11.3372 	EXP 	text_2: autoDraw = False
11.3529 	EXP 	mask: autoDraw = True
11.3536 	EXP 	New trial (rep=0, index=3): OrderedDict([(u'block', 1), (u'trial', 1), (u'sep_dur', u'short'), (u'Tx', u't1'), (u'stim_count', 4), (u'stimulus', u'Q'), (u'cond', u'distractor')])
11.3692 	EXP 	mask: autoDraw = False
11.3692 	EXP 	text_2: autoDraw = False
11.3692 	EXP 	mask: autoDraw = False
11.3692 	EXP 	text_2: text = u'Q'
11.3692 	EXP 	text_2: autoDraw = True
11.4190 	EXP 	text_2: autoDraw = False
11.4362 	EXP 	mask: autoDraw = True
11.4369 	EXP 	New trial (rep=0, index=4): OrderedDict([(u'block', 1), (u'trial', 1), (u'sep_dur', u'short'), (u'Tx', u't1'), (u'stim_count', 5), (u'stimulus', u'S'), (u'cond', u'distractor')])
11.4524 	EXP 	mask: autoDraw = False
11.4524 	EXP 	text_2: autoDraw = False
11.4524 	EXP 	mask: autoDraw = False
11.4524 	EXP 	text_2: text = u'S'
11.4524 	EXP 	text_2: autoDraw = True
11.5033 	EXP 	text_2: autoDraw = False
11.5196 	EXP 	mask: autoDraw = True
11.5204 	EXP 	New trial (rep=0, index=5): OrderedDict([(u'block', 1), (u'trial', 1), (u'sep_dur', u'short'), (u'Tx', u't1'), (u'stim_count', 6), (u'stimulus', u'Z'), (u'cond', u'distractor')])
11.5357 	EXP 	mask: autoDraw = False
11.5357 	EXP 	text_2: autoDraw = False
11.5357 	EXP 	mask: autoDraw = False
11.5357 	EXP 	text_2: text = u'Z'
11.5357 	EXP 	text_2: autoDraw = True
11.5861 	EXP 	text_2: autoDraw = False
11.6031 	EXP 	mask: autoDraw = True
11.6038 	EXP 	New trial (rep=0, index=6): OrderedDict([(u'block', 1), (u'trial', 1), (u'sep_dur', u'short'), (u'Tx', u't1'), (u'stim_count', 7), (u'stimulus', u'Z'), (u'cond', u'distractor')])
11.6190 	EXP 	mask: autoDraw = False
11.6190 	EXP 	text_2: autoDraw = False
11.6190 	EXP 	mask: autoDraw = False
11.6190 	EXP 	text_2: text = u'Z'
11.6190 	EXP 	text_2: autoDraw = True
11.6696 	EXP 	text_2: autoDraw = False
11.6866 	EXP 	mask: autoDraw = True
11.6873 	EXP 	New trial (rep=0, index=7): OrderedDict([(u'block', 1), (u'trial', 1), (u'sep_dur', u'short'), (u'Tx', u't1'), (u'stim_count', 8), (u'stimulus', u'H'), (u'cond', u'distractor')])
11.7030 	EXP 	mask: autoDraw = False
11.7030 	EXP 	text_2: autoDraw = False
11.7030 	EXP 	mask: autoDraw = False
11.7030 	EXP 	text_2: text = u'H'
11.7030 	EXP 	text_2: autoDraw = True
11.7529 	EXP 	text_2: autoDraw = False
11.7696 	EXP 	mask: autoDraw = True
11.7703 	EXP 	New trial (rep=0, index=8): OrderedDict([(u'block', 1), (u'trial', 1), (u'sep_dur', u'short'), (u'Tx', u't1'), (u'stim_count', 9), (u'stimulus', u'A'), (u'cond', u'distractor')])
11.7862 	EXP 	mask: autoDraw = False
11.7862 	EXP 	text_2: autoDraw = False
11.7862 	EXP 	mask: autoDraw = False
11.7862 	EXP 	text_2: text = u'A'
11.7862 	EXP 	text_2: autoDraw = True
11.8363 	EXP 	text_2: autoDraw = False
11.8524 	EXP 	mask: autoDraw = True
11.8532 	EXP 	New trial (rep=0, index=9): OrderedDict([(u'block', 1), (u'trial', 1), (u'sep_dur', u'short'), (u'Tx', u't1'), (u'stim_count', 10), (u'stimulus', u'1'), (u'cond', u'target')])
11.8696 	EXP 	mask: autoDraw = False
11.8696 	EXP 	text_2: autoDraw = False
11.8696 	EXP 	mask: autoDraw = False
11.8696 	EXP 	text_2: text = u'1'
11.8696 	EXP 	text_2: autoDraw = True
11.9191 	EXP 	text_2: autoDraw = False
11.9361 	EXP 	mask: autoDraw = True
11.9369 	EXP 	New trial (rep=0, index=10): OrderedDict([(u'block', 1), (u'trial', 1), (u'sep_dur', u'short'), (u'Tx', u't1'), (u'stim_count', 11), (u'stimulus', u'F'), (u'cond', u'distractor')])
11.9530 	EXP 	mask: autoDraw = False
11.9530 	EXP 	text_2: autoDraw = False
11.9530 	EXP 	mask: autoDraw = False
11.9530 	EXP 	text_2: text = u'F'
11.9530 	EXP 	text_2: autoDraw = True
12.0034 	EXP 	text_2: autoDraw = False
12.0197 	EXP 	mask: autoDraw = True
12.0204 	EXP 	New trial (rep=0, index=11): OrderedDict([(u'block', 1), (u'trial', 1), (u'sep_dur', u'short'), (u'Tx', u't1'), (u'stim_count', 12), (u'stimulus', u'A'), (u'cond', u'distractor')])
12.0363 	EXP 	mask: autoDraw = False
12.0363 	EXP 	text_2: autoDraw = False
12.0363 	EXP 	mask: autoDraw = False
12.0363 	EXP 	text_2: text = u'A'
12.0363 	EXP 	text_2: autoDraw = True
12.0863 	EXP 	text_2: autoDraw = False
12.1032 	EXP 	mask: autoDraw = True
12.1039 	EXP 	New trial (rep=0, index=12): OrderedDict([(u'block', 1), (u'trial', 1), (u'sep_dur', u'short'), (u'Tx', u't1'), (u'stim_count', 13), (u'stimulus', u'H'), (u'cond', u'distractor')])
12.1200 	EXP 	mask: autoDraw = False
12.1200 	EXP 	text_2: autoDraw = False
12.1200 	EXP 	mask: autoDraw = False
12.1200 	EXP 	text_2: text = u'H'
12.1200 	EXP 	text_2: autoDraw = True
12.1697 	EXP 	text_2: autoDraw = False
12.1863 	EXP 	mask: autoDraw = True
12.1870 	EXP 	New trial (rep=0, index=13): OrderedDict([(u'block', 1), (u'trial', 1), (u'sep_dur', u'short'), (u'Tx', u't1'), (u'stim_count', 14), (u'stimulus', u' '), (u'cond', u'mask')])
12.2030 	EXP 	mask: autoDraw = False
12.2030 	EXP 	text_2: autoDraw = False
12.2030 	EXP 	mask: autoDraw = False
