2.9845 	WARNING 	psychopy.parallel has been imported but no parallel port driver found. Install either inpout32 or dlportio
6.1187 	WARNING 	User requested fullscreen with size [2160 1440], but screen is actually [3240, 2160]. Using actual size
7.3444 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=u'white', colorSpace='named', fullscr=UNKNOWN, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x1F1A44B0>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([3240, 2160]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType=u'pyglet')
7.3445 	EXP 	window1: recordFrameIntervals = False
7.5117 	EXP 	window1: recordFrameIntervals = True
7.6959 	EXP 	window1: recordFrameIntervals = False
8.0675 	EXP 	Created instructions_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='instructions_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=newstr(...), units=u'norm', win=Window(...), wrapWidth=1)
8.0681 	EXP 	Created blank_iti = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='blank_iti', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text='', units=u'norm', win=Window(...), wrapWidth=1)
8.0979 	EXP 	Sound  set volume 1.000
8.1113 	EXP 	instructions_text: autoDraw = True
9.0445 	DATA 	Keypress: space
9.0601 	EXP 	instructions_text: autoDraw = False
9.0601 	EXP 	blank_iti: autoDraw = True
10.0488 	EXP 	Created sequence: random, trialTypes=1, nReps=17, seed=None
10.0500 	EXP 	New trial (rep=0, index=0): None
10.0634 	EXP 	blank_iti: autoDraw = False
10.4826 	DATA 	Keypress: space
10.6494 	EXP 	New trial (rep=1, index=0): None
11.0478 	DATA 	Keypress: space
11.2482 	EXP 	New trial (rep=2, index=0): None
11.5631 	DATA 	Keypress: space
11.8474 	EXP 	New trial (rep=3, index=0): None
12.0635 	DATA 	Keypress: space
12.4489 	EXP 	New trial (rep=4, index=0): None
12.6191 	DATA 	Keypress: space
13.0484 	EXP 	New trial (rep=5, index=0): None
13.1668 	DATA 	Keypress: space
13.6503 	EXP 	New trial (rep=6, index=0): None
13.7468 	DATA 	Keypress: space
14.2450 	EXP 	New trial (rep=7, index=0): None
14.2955 	DATA 	Keypress: space
14.8497 	EXP 	New trial (rep=8, index=0): None
14.9491 	DATA 	Keypress: space
15.4485 	EXP 	New trial (rep=9, index=0): None
15.4972 	DATA 	Keypress: space
16.0493 	EXP 	New trial (rep=10, index=0): None
16.1158 	DATA 	Keypress: space
16.6509 	EXP 	New trial (rep=11, index=0): None
16.6996 	DATA 	Keypress: space
17.2494 	EXP 	New trial (rep=12, index=0): None
17.2991 	DATA 	Keypress: space
17.8461 	EXP 	New trial (rep=13, index=0): None
17.9287 	DATA 	Keypress: space
18.4458 	EXP 	New trial (rep=14, index=0): None
18.5141 	DATA 	Keypress: space
19.0462 	EXP 	New trial (rep=15, index=0): None
19.1008 	DATA 	Keypress: space
19.6487 	EXP 	New trial (rep=16, index=0): None
19.6781 	DATA 	Keypress: space
20.2998 	DATA 	Keypress: space
21.1331 	DATA 	Keypress: space
21.6994 	DATA 	Keypress: space
22.2491 	DATA 	Keypress: space
22.8151 	DATA 	Keypress: space
23.4164 	DATA 	Keypress: space
23.9805 	DATA 	Keypress: space
24.5315 	DATA 	Keypress: space
25.1038 	DATA 	Keypress: space
25.6815 	DATA 	Keypress: space
26.2823 	DATA 	Keypress: space
26.9143 	DATA 	Keypress: space
27.5319 	DATA 	Keypress: space
28.1337 	DATA 	Keypress: space
28.7974 	DATA 	Keypress: space
29.4324 	DATA 	Keypress: space
30.0154 	DATA 	Keypress: space
30.6471 	DATA 	Keypress: space
31.2168 	DATA 	Keypress: space
31.8502 	DATA 	Keypress: space
32.4656 	DATA 	Keypress: space
33.0327 	DATA 	Keypress: space
33.6160 	DATA 	Keypress: space
34.2007 	DATA 	Keypress: space
34.7979 	DATA 	Keypress: space
35.3500 	DATA 	Keypress: space
35.8972 	DATA 	Keypress: space
36.4512 	DATA 	Keypress: space
36.9819 	DATA 	Keypress: space
37.5490 	DATA 	Keypress: space
38.1346 	DATA 	Keypress: space
38.7003 	DATA 	Keypress: space
39.2989 	DATA 	Keypress: space
39.8502 	DATA 	Keypress: space
40.4195 	DATA 	Keypress: space
40.9178 	DATA 	Keypress: space
41.4176 	DATA 	Keypress: space
42.0310 	DATA 	Keypress: space
42.5844 	DATA 	Keypress: space
43.1995 	DATA 	Keypress: space
43.7838 	DATA 	Keypress: space
44.3498 	EXP 	window1: mouseVisible = True
