train_loop.thisRepN,train_loop.thisTrialN,train_loop.thisN,train_loop.thisIndex,button_press.keys,button_press.rt,date,frameRate,expName,session,participant,
0,0,0,0,,,2018_Sep_24_1431,60.3248912719,finger_tap,001,123,
1,0,1,0,,,2018_Sep_24_1431,60.3248912719,finger_tap,001,123,
2,0,2,0,,,2018_Sep_24_1431,60.3248912719,finger_tap,001,123,
3,0,3,0,,,2018_Sep_24_1431,60.3248912719,finger_tap,001,123,
4,0,4,0,,,2018_Sep_24_1431,60.3248912719,finger_tap,001,123,
5,0,5,0,,,2018_Sep_24_1431,60.3248912719,finger_tap,001,123,
6,0,6,0,,,2018_Sep_24_1431,60.3248912719,finger_tap,001,123,
7,0,7,0,,,2018_Sep_24_1431,60.3248912719,finger_tap,001,123,
8,0,8,0,,,2018_Sep_24_1431,60.3248912719,finger_tap,001,123,
9,0,9,0,,,2018_Sep_24_1431,60.3248912719,finger_tap,001,123,
10,0,10,0,,,2018_Sep_24_1431,60.3248912719,finger_tap,001,123,
11,0,11,0,,,2018_Sep_24_1431,60.3248912719,finger_tap,001,123,
12,0,12,0,,,2018_Sep_24_1431,60.3248912719,finger_tap,001,123,
13,0,13,0,,,2018_Sep_24_1431,60.3248912719,finger_tap,001,123,
14,0,14,0,,,2018_Sep_24_1431,60.3248912719,finger_tap,001,123,
15,0,15,0,,,2018_Sep_24_1431,60.3248912719,finger_tap,001,123,
16,0,16,0,,,2018_Sep_24_1431,60.3248912719,finger_tap,001,123,
