6.2299 	WARNING 	User requested fullscreen with size [2160 1440], but screen is actually [3240, 2160]. Using actual size
8.4394 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=u'white', colorSpace='named', fullscr=UNKNOWN, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x1F3D4430>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([3240, 2160]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType=u'pyglet')
8.4396 	EXP 	window1: recordFrameIntervals = False
8.5940 	EXP 	window1: recordFrameIntervals = True
8.7774 	EXP 	window1: recordFrameIntervals = False
9.3719 	EXP 	Created instructions_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='instructions_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=newstr(...), units=u'norm', win=Window(...), wrapWidth=1)
9.3724 	EXP 	Created blank_iti = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='blank_iti', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text='', units=u'norm', win=Window(...), wrapWidth=1)
9.4209 	EXP 	Sound  set volume 1.000
9.4402 	EXP 	instructions_text: autoDraw = True
14.2815 	DATA 	Keypress: space
14.2943 	EXP 	instructions_text: autoDraw = False
14.2943 	EXP 	blank_iti: autoDraw = True
15.2813 	EXP 	Created sequence: random, trialTypes=1, nReps=17, seed=None
15.2825 	EXP 	New trial (rep=0, index=0): None
15.2987 	EXP 	blank_iti: autoDraw = False
15.2987 	EXP 	blank_iti: autoDraw = False
15.8816 	EXP 	New trial (rep=1, index=0): None
15.9341 	DATA 	Keypress: space
16.4797 	EXP 	New trial (rep=2, index=0): None
16.4967 	DATA 	Keypress: space
17.0638 	DATA 	Keypress: space
17.0809 	EXP 	New trial (rep=3, index=0): None
17.6635 	DATA 	Keypress: space
17.6804 	EXP 	New trial (rep=4, index=0): None
18.2464 	DATA 	Keypress: space
18.2809 	EXP 	New trial (rep=5, index=0): None
18.8459 	DATA 	Keypress: space
18.8816 	EXP 	New trial (rep=6, index=0): None
19.3814 	DATA 	Keypress: space
19.4804 	EXP 	New trial (rep=7, index=0): None
19.9293 	DATA 	Keypress: space
20.0809 	EXP 	New trial (rep=8, index=0): None
20.4810 	DATA 	Keypress: space
20.6801 	EXP 	New trial (rep=9, index=0): None
21.0649 	DATA 	Keypress: space
21.2821 	EXP 	New trial (rep=10, index=0): None
21.6134 	DATA 	Keypress: space
21.8814 	EXP 	New trial (rep=11, index=0): None
22.1817 	DATA 	Keypress: space
22.4823 	EXP 	New trial (rep=12, index=0): None
22.7298 	DATA 	Keypress: space
23.0808 	EXP 	New trial (rep=13, index=0): None
23.2983 	DATA 	Keypress: space
23.6820 	EXP 	New trial (rep=14, index=0): None
23.9490 	DATA 	Keypress: space
24.2810 	EXP 	New trial (rep=15, index=0): None
24.4959 	DATA 	Keypress: space
24.8801 	EXP 	New trial (rep=16, index=0): None
25.0667 	DATA 	Keypress: space
25.6629 	DATA 	Keypress: space
26.3132 	DATA 	Keypress: space
26.8801 	DATA 	Keypress: space
27.4148 	DATA 	Keypress: space
27.9648 	DATA 	Keypress: space
28.5323 	DATA 	Keypress: space
29.0810 	DATA 	Keypress: space
29.6640 	DATA 	Keypress: space
30.2312 	DATA 	Keypress: space
30.8149 	DATA 	Keypress: space
31.4149 	DATA 	Keypress: space
31.9960 	DATA 	Keypress: space
32.5800 	DATA 	Keypress: space
33.1987 	DATA 	Keypress: space
33.7504 	DATA 	Keypress: space
34.3482 	DATA 	Keypress: space
34.9149 	DATA 	Keypress: space
35.4815 	DATA 	Keypress: space
36.0812 	DATA 	Keypress: space
36.6633 	DATA 	Keypress: space
37.3150 	DATA 	Keypress: space
37.8799 	DATA 	Keypress: space
38.4816 	DATA 	Keypress: space
39.0820 	DATA 	Keypress: space
39.6483 	DATA 	Keypress: space
40.2983 	DATA 	Keypress: space
40.8984 	DATA 	Keypress: space
41.4822 	DATA 	Keypress: space
42.0318 	DATA 	Keypress: space
42.6135 	DATA 	Keypress: space
43.2320 	DATA 	Keypress: space
43.7988 	DATA 	Keypress: space
44.3879 	DATA 	Keypress: space
44.9660 	DATA 	Keypress: space
45.5157 	DATA 	Keypress: space
46.1162 	DATA 	Keypress: space
46.6655 	DATA 	Keypress: space
47.2495 	DATA 	Keypress: space
47.7980 	DATA 	Keypress: space
48.3975 	DATA 	Keypress: space
48.9835 	DATA 	Keypress: space
49.6310 	DATA 	Keypress: space
50.1990 	DATA 	Keypress: space
50.7495 	DATA 	Keypress: space
51.2658 	DATA 	Keypress: space
51.8498 	DATA 	Keypress: space
52.4508 	DATA 	Keypress: space
53.0170 	DATA 	Keypress: space
53.6320 	DATA 	Keypress: space
54.2657 	DATA 	Keypress: space
54.8817 	DATA 	Keypress: space
55.5179 	DATA 	Keypress: space
56.0490 	DATA 	Keypress: space
56.6493 	DATA 	Keypress: space
57.2158 	DATA 	Keypress: space
57.7809 	DATA 	Keypress: space
58.4135 	DATA 	Keypress: space
59.0145 	DATA 	Keypress: space
59.5830 	DATA 	Keypress: space
60.1491 	DATA 	Keypress: space
60.7372 	DATA 	Keypress: space
61.3823 	DATA 	Keypress: space
61.9670 	DATA 	Keypress: space
62.5677 	DATA 	Keypress: space
63.1161 	DATA 	Keypress: space
63.7326 	DATA 	Keypress: space
64.3018 	DATA 	Keypress: space
64.9344 	DATA 	Keypress: space
65.5163 	DATA 	Keypress: space
66.1328 	DATA 	Keypress: space
66.7350 	DATA 	Keypress: space
67.3335 	DATA 	Keypress: space
67.8976 	DATA 	Keypress: space
68.5001 	DATA 	Keypress: space
69.1146 	DATA 	Keypress: space
69.7170 	DATA 	Keypress: space
70.2997 	DATA 	Keypress: space
70.8500 	DATA 	Keypress: space
71.4340 	DATA 	Keypress: space
72.0837 	DATA 	Keypress: space
72.6506 	DATA 	Keypress: space
73.2013 	DATA 	Keypress: space
73.7352 	DATA 	Keypress: space
74.3346 	DATA 	Keypress: space
74.8674 	DATA 	Keypress: space
75.4491 	DATA 	Keypress: space
76.0651 	DATA 	Keypress: space
76.6674 	DATA 	Keypress: space
