block,sep_dur,Tx,trial,stimulus,cond,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,stim.thisRepN,stim.thisTrialN,stim.thisN,stim.thisIndex,usr_input_t1.keys,usr_input_t1.rt,usr_input_t2.keys,usr_input_t2.rt,date,participant,expName,run,frameRate,
1,short,t2,1,U,distractor,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2018_Nov_03_1642,10,rsvp,r,30.1326166591,
1,short,t2,2,Y,distractor,0,0,0,0,0,0,0,0,0,1,1,1,,,,,2018_Nov_03_1642,10,rsvp,r,30.1326166591,
1,short,t2,3,R,distractor,0,0,0,0,0,0,0,0,0,2,2,2,,,,,2018_Nov_03_1642,10,rsvp,r,30.1326166591,
1,short,t2,4,F,distractor,0,0,0,0,0,0,0,0,0,3,3,3,,,,,2018_Nov_03_1642,10,rsvp,r,30.1326166591,
1,short,t2,5,6,target,0,0,0,0,0,0,0,0,0,4,4,4,,,,,2018_Nov_03_1642,10,rsvp,r,30.1326166591,
1,short,t2,6,S,distractor,0,0,0,0,0,0,0,0,0,5,5,5,,,,,2018_Nov_03_1642,10,rsvp,r,30.1326166591,
1,short,t2,7,P,distractor,0,0,0,0,0,0,0,0,0,6,6,6,,,,,2018_Nov_03_1642,10,rsvp,r,30.1326166591,
1,short,t2,8,H,distractor,0,0,0,0,0,0,0,0,0,7,7,7,,,,,2018_Nov_03_1642,10,rsvp,r,30.1326166591,
1,short,t2,9,R,distractor,0,0,0,0,0,0,0,0,0,8,8,8,,,,,2018_Nov_03_1642,10,rsvp,r,30.1326166591,
1,short,t2,10,5,target,0,0,0,0,0,0,0,0,0,9,9,9,,,,,2018_Nov_03_1642,10,rsvp,r,30.1326166591,
1,short,t2,11,C,distractor,0,0,0,0,0,0,0,0,0,10,10,10,,,,,2018_Nov_03_1642,10,rsvp,r,30.1326166591,
1,short,t2,12,Y,distractor,0,0,0,0,0,0,0,0,0,11,11,11,,,,,2018_Nov_03_1642,10,rsvp,r,30.1326166591,
1,short,t2,13,C,distractor,0,0,0,0,0,0,0,0,0,12,12,12,,,,,2018_Nov_03_1642,10,rsvp,r,30.1326166591,
1,short,t2,14,I,distractor,0,0,0,0,0,0,0,0,0,13,13,13,,,,,2018_Nov_03_1642,10,rsvp,r,30.1326166591,
1,short,t2,15,R,distractor,0,0,0,0,0,0,0,0,0,14,14,14,,,,,2018_Nov_03_1642,10,rsvp,r,30.1326166591,
1,short,t2,16,H,distractor,0,0,0,0,0,0,0,0,0,15,15,15,,,,,2018_Nov_03_1642,10,rsvp,r,30.1326166591,
1,short,t2,17,Q,distractor,0,0,0,0,0,0,0,0,0,16,16,16,,,,,2018_Nov_03_1642,10,rsvp,r,30.1326166591,
1,short,t2,18,S,distractor,0,0,0,0,0,0,0,0,0,17,17,17,,,,,2018_Nov_03_1642,10,rsvp,r,30.1326166591,
,,,,,,0,0,0,0,0,0,0,0,,,,,3,1.6308583,3,0.7694928,2018_Nov_03_1642,10,rsvp,r,30.1326166591,
