block,sep_dur,Tx,trial,stimulus,cond,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,stim.thisRepN,stim.thisTrialN,stim.thisN,stim.thisIndex,usr_input_t1.keys,usr_input_t1.rt,usr_input_t2.keys,usr_input_t2.rt,date,run,expName,participant,frameRate,
1,short,t1,1,P,distractor,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
1,short,t1,2,U,distractor,0,0,0,0,0,0,0,0,0,1,1,1,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
1,short,t1,3,X,distractor,0,0,0,0,0,0,0,0,0,2,2,2,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
1,short,t1,4,I,distractor,0,0,0,0,0,0,0,0,0,3,3,3,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
1,short,t1,5,C,distractor,0,0,0,0,0,0,0,0,0,4,4,4,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
1,short,t1,6,K,distractor,0,0,0,0,0,0,0,0,0,5,5,5,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
1,short,t1,7,V,distractor,0,0,0,0,0,0,0,0,0,6,6,6,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
1,short,t1,8,2,target,0,0,0,0,0,0,0,0,0,7,7,7,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
1,short,t1,9,H,distractor,0,0,0,0,0,0,0,0,0,8,8,8,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
1,short,t1,10,C,distractor,0,0,0,0,0,0,0,0,0,9,9,9,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
1,short,t1,11,V,distractor,0,0,0,0,0,0,0,0,0,10,10,10,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
1,short,t1,12,P,distractor,0,0,0,0,0,0,0,0,0,11,11,11,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
1,short,t1,13, ,mask,0,0,0,0,0,0,0,0,0,12,12,12,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
1,short,t1,14,O,distractor,0,0,0,0,0,0,0,0,0,13,13,13,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
1,short,t1,15,B,distractor,0,0,0,0,0,0,0,0,0,14,14,14,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
1,short,t1,16,C,distractor,0,0,0,0,0,0,0,0,0,15,15,15,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
,,,,,,0,0,0,0,0,0,0,0,,,,,9,0.723301400008,9,0.245216199997,2018_Nov_05_1256,2,rsvp,1061,None,
2,short,t1,1,Q,distractor,0,0,0,0,1,0,1,0,0,0,0,0,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
2,short,t1,2,Q,distractor,0,0,0,0,1,0,1,0,0,1,1,1,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
2,short,t1,3,L,distractor,0,0,0,0,1,0,1,0,0,2,2,2,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
2,short,t1,4,M,distractor,0,0,0,0,1,0,1,0,0,3,3,3,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
2,short,t1,5,W,distractor,0,0,0,0,1,0,1,0,0,4,4,4,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
2,short,t1,6,G,distractor,0,0,0,0,1,0,1,0,0,5,5,5,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
2,short,t1,7,B,distractor,0,0,0,0,1,0,1,0,0,6,6,6,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
2,short,t1,8,7,target,0,0,0,0,1,0,1,0,0,7,7,7,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
2,short,t1,9,V,distractor,0,0,0,0,1,0,1,0,0,8,8,8,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
2,short,t1,10,M,distractor,0,0,0,0,1,0,1,0,0,9,9,9,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
2,short,t1,11,N,distractor,0,0,0,0,1,0,1,0,0,10,10,10,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
2,short,t1,12,J,distractor,0,0,0,0,1,0,1,0,0,11,11,11,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
2,short,t1,13, ,mask,0,0,0,0,1,0,1,0,0,12,12,12,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
2,short,t1,14,D,distractor,0,0,0,0,1,0,1,0,0,13,13,13,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
2,short,t1,15,Q,distractor,0,0,0,0,1,0,1,0,0,14,14,14,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
2,short,t1,16,E,distractor,0,0,0,0,1,0,1,0,0,15,15,15,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
2,short,t1,17,M,distractor,0,0,0,0,1,0,1,0,0,16,16,16,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
,,,,,,0,0,0,0,1,0,1,0,,,,,9,0.329434900006,9,0.214904799999,2018_Nov_05_1256,2,rsvp,1061,None,
3,long,t2,1,F,distractor,0,0,0,0,2,0,2,0,0,0,0,0,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
3,long,t2,2,2,target,0,0,0,0,2,0,2,0,0,1,1,1,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
3,long,t2,3,D,distractor,0,0,0,0,2,0,2,0,0,2,2,2,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
3,long,t2,4,Z,distractor,0,0,0,0,2,0,2,0,0,3,3,3,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
3,long,t2,5,N,distractor,0,0,0,0,2,0,2,0,0,4,4,4,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
3,long,t2,6,O,distractor,0,0,0,0,2,0,2,0,0,5,5,5,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
3,long,t2,7,G,distractor,0,0,0,0,2,0,2,0,0,6,6,6,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
3,long,t2,8,D,distractor,0,0,0,0,2,0,2,0,0,7,7,7,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
3,long,t2,9,H,distractor,0,0,0,0,2,0,2,0,0,8,8,8,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
3,long,t2,10,B,distractor,0,0,0,0,2,0,2,0,0,9,9,9,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
3,long,t2,11,5,target,0,0,0,0,2,0,2,0,0,10,10,10,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
3,long,t2,12,A,distractor,0,0,0,0,2,0,2,0,0,11,11,11,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
3,long,t2,13, ,mask,0,0,0,0,2,0,2,0,0,12,12,12,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
3,long,t2,14,V,distractor,0,0,0,0,2,0,2,0,0,13,13,13,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
3,long,t2,15,E,distractor,0,0,0,0,2,0,2,0,0,14,14,14,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
3,long,t2,16,Y,distractor,0,0,0,0,2,0,2,0,0,15,15,15,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
,,,,,,0,0,0,0,2,0,2,0,,,,,9,0.444094399994,9,0.254364299995,2018_Nov_05_1256,2,rsvp,1061,None,
4,short,t1,1,R,distractor,0,0,0,0,3,0,3,0,0,0,0,0,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
4,short,t1,2,B,distractor,0,0,0,0,3,0,3,0,0,1,1,1,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
4,short,t1,3,S,distractor,0,0,0,0,3,0,3,0,0,2,2,2,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
4,short,t1,4,D,distractor,0,0,0,0,3,0,3,0,0,3,3,3,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
4,short,t1,5,2,target,0,0,0,0,3,0,3,0,0,4,4,4,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
4,short,t1,6,T,distractor,0,0,0,0,3,0,3,0,0,5,5,5,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
4,short,t1,7,S,distractor,0,0,0,0,3,0,3,0,0,6,6,6,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
4,short,t1,8,Q,distractor,0,0,0,0,3,0,3,0,0,7,7,7,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
4,short,t1,9,G,distractor,0,0,0,0,3,0,3,0,0,8,8,8,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
4,short,t1,10, ,mask,0,0,0,0,3,0,3,0,0,9,9,9,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
4,short,t1,11,T,distractor,0,0,0,0,3,0,3,0,0,10,10,10,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
4,short,t1,12,N,distractor,0,0,0,0,3,0,3,0,0,11,11,11,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
4,short,t1,13,V,distractor,0,0,0,0,3,0,3,0,0,12,12,12,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
4,short,t1,14,T,distractor,0,0,0,0,3,0,3,0,0,13,13,13,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
4,short,t1,15,D,distractor,0,0,0,0,3,0,3,0,0,14,14,14,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
,,,,,,0,0,0,0,3,0,3,0,,,,,9,0.909714199996,9,0.318952899994,2018_Nov_05_1256,2,rsvp,1061,None,
,,,,,,0,0,0,0,,,,,,,,,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
5,short,t1,1,P,distractor,1,0,1,0,0,0,0,0,0,0,0,0,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
5,short,t1,2,E,distractor,1,0,1,0,0,0,0,0,0,1,1,1,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
5,short,t1,3,W,distractor,1,0,1,0,0,0,0,0,0,2,2,2,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
5,short,t1,4,Y,distractor,1,0,1,0,0,0,0,0,0,3,3,3,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
5,short,t1,5,H,distractor,1,0,1,0,0,0,0,0,0,4,4,4,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
5,short,t1,6,Y,distractor,1,0,1,0,0,0,0,0,0,5,5,5,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
5,short,t1,7,H,distractor,1,0,1,0,0,0,0,0,0,6,6,6,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
5,short,t1,8,S,distractor,1,0,1,0,0,0,0,0,0,7,7,7,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
5,short,t1,9,R,distractor,1,0,1,0,0,0,0,0,0,8,8,8,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
5,short,t1,10,5,target,1,0,1,0,0,0,0,0,0,9,9,9,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
5,short,t1,11,U,distractor,1,0,1,0,0,0,0,0,0,10,10,10,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
5,short,t1,12,X,distractor,1,0,1,0,0,0,0,0,0,11,11,11,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
5,short,t1,13,A,distractor,1,0,1,0,0,0,0,0,0,12,12,12,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
5,short,t1,14,A,distractor,1,0,1,0,0,0,0,0,0,13,13,13,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
5,short,t1,15, ,mask,1,0,1,0,0,0,0,0,0,14,14,14,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
5,short,t1,16,L,distractor,1,0,1,0,0,0,0,0,0,15,15,15,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
,,,,,,1,0,1,0,0,0,0,0,,,,,9,0.606421000004,9,0.316873000003,2018_Nov_05_1256,2,rsvp,1061,None,
6,long,t2,1,C,distractor,1,0,1,0,1,0,1,0,0,0,0,0,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
6,long,t2,2,7,target,1,0,1,0,1,0,1,0,0,1,1,1,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
6,long,t2,3,N,distractor,1,0,1,0,1,0,1,0,0,2,2,2,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
6,long,t2,4,Z,distractor,1,0,1,0,1,0,1,0,0,3,3,3,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
6,long,t2,5,A,distractor,1,0,1,0,1,0,1,0,0,4,4,4,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
6,long,t2,6,K,distractor,1,0,1,0,1,0,1,0,0,5,5,5,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
6,long,t2,7,G,distractor,1,0,1,0,1,0,1,0,0,6,6,6,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
6,long,t2,8,I,distractor,1,0,1,0,1,0,1,0,0,7,7,7,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
6,long,t2,9,J,distractor,1,0,1,0,1,0,1,0,0,8,8,8,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
6,long,t2,10,F,distractor,1,0,1,0,1,0,1,0,0,9,9,9,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
6,long,t2,11,6,target,1,0,1,0,1,0,1,0,0,10,10,10,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
6,long,t2,12,S,distractor,1,0,1,0,1,0,1,0,0,11,11,11,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
6,long,t2,13,E,distractor,1,0,1,0,1,0,1,0,0,12,12,12,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
6,long,t2,14,U,distractor,1,0,1,0,1,0,1,0,0,13,13,13,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
6,long,t2,15,M,distractor,1,0,1,0,1,0,1,0,0,14,14,14,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
6,long,t2,16,E,distractor,1,0,1,0,1,0,1,0,0,15,15,15,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
,,,,,,1,0,1,0,1,0,1,0,,,,,9,0.609708500007,9,0.236410500002,2018_Nov_05_1256,2,rsvp,1061,None,
7,long,t2,1,S,distractor,1,0,1,0,2,0,2,0,0,0,0,0,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
7,long,t2,2,E,distractor,1,0,1,0,2,0,2,0,0,1,1,1,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
7,long,t2,3,P,distractor,1,0,1,0,2,0,2,0,0,2,2,2,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
7,long,t2,4,F,distractor,1,0,1,0,2,0,2,0,0,3,3,3,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
7,long,t2,5,T,distractor,1,0,1,0,2,0,2,0,0,4,4,4,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
7,long,t2,6,3,target,1,0,1,0,2,0,2,0,0,5,5,5,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
7,long,t2,7,F,distractor,1,0,1,0,2,0,2,0,0,6,6,6,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
7,long,t2,8,S,distractor,1,0,1,0,2,0,2,0,0,7,7,7,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
7,long,t2,9,C,distractor,1,0,1,0,2,0,2,0,0,8,8,8,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
7,long,t2,10,S,distractor,1,0,1,0,2,0,2,0,0,9,9,9,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
7,long,t2,11,B,distractor,1,0,1,0,2,0,2,0,0,10,10,10,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
7,long,t2,12,C,distractor,1,0,1,0,2,0,2,0,0,11,11,11,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
7,long,t2,13,W,distractor,1,0,1,0,2,0,2,0,0,12,12,12,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
7,long,t2,14,L,distractor,1,0,1,0,2,0,2,0,0,13,13,13,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
7,long,t2,15,2,target,1,0,1,0,2,0,2,0,0,14,14,14,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
7,long,t2,16,N,distractor,1,0,1,0,2,0,2,0,0,15,15,15,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
7,long,t2,17,Y,distractor,1,0,1,0,2,0,2,0,0,16,16,16,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
7,long,t2,18,D,distractor,1,0,1,0,2,0,2,0,0,17,17,17,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
,,,,,,1,0,1,0,2,0,2,0,,,,,9,0.293805299996,9,0.218336799997,2018_Nov_05_1256,2,rsvp,1061,None,
8,short,t1,1,E,distractor,1,0,1,0,3,0,3,0,0,0,0,0,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
8,short,t1,2,A,distractor,1,0,1,0,3,0,3,0,0,1,1,1,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
8,short,t1,3,Y,distractor,1,0,1,0,3,0,3,0,0,2,2,2,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
8,short,t1,4,U,distractor,1,0,1,0,3,0,3,0,0,3,3,3,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
8,short,t1,5,Y,distractor,1,0,1,0,3,0,3,0,0,4,4,4,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
8,short,t1,6,5,target,1,0,1,0,3,0,3,0,0,5,5,5,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
8,short,t1,7,O,distractor,1,0,1,0,3,0,3,0,0,6,6,6,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
8,short,t1,8,T,distractor,1,0,1,0,3,0,3,0,0,7,7,7,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
8,short,t1,9,B,distractor,1,0,1,0,3,0,3,0,0,8,8,8,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
8,short,t1,10,P,distractor,1,0,1,0,3,0,3,0,0,9,9,9,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
8,short,t1,11, ,mask,1,0,1,0,3,0,3,0,0,10,10,10,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
8,short,t1,12,Y,distractor,1,0,1,0,3,0,3,0,0,11,11,11,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
8,short,t1,13,P,distractor,1,0,1,0,3,0,3,0,0,12,12,12,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
8,short,t1,14,S,distractor,1,0,1,0,3,0,3,0,0,13,13,13,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
8,short,t1,15,N,distractor,1,0,1,0,3,0,3,0,0,14,14,14,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
8,short,t1,16,M,distractor,1,0,1,0,3,0,3,0,0,15,15,15,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
8,short,t1,17,I,distractor,1,0,1,0,3,0,3,0,0,16,16,16,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
8,short,t1,18,F,distractor,1,0,1,0,3,0,3,0,0,17,17,17,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
,,,,,,1,0,1,0,3,0,3,0,,,,,9,0.784054800009,9,0.219870999994,2018_Nov_05_1256,2,rsvp,1061,None,
,,,,,,1,0,1,0,,,,,,,,,,,,,2018_Nov_05_1256,2,rsvp,1061,None,
