train_loop.thisRepN,train_loop.thisTrialN,train_loop.thisN,train_loop.thisIndex,button_press.keys,button_press.rt,date,run,expName,participant,frameRate,
0,0,0,0,,,2018_Nov_05_2209,1,tap,1011,None,
1,0,1,0,,,2018_Nov_05_2209,1,tap,1011,None,
2,0,2,0,,,2018_Nov_05_2209,1,tap,1011,None,
3,0,3,0,,,2018_Nov_05_2209,1,tap,1011,None,
4,0,4,0,,,2018_Nov_05_2209,1,tap,1011,None,
5,0,5,0,,,2018_Nov_05_2209,1,tap,1011,None,
6,0,6,0,,,2018_Nov_05_2209,1,tap,1011,None,
7,0,7,0,,,2018_Nov_05_2209,1,tap,1011,None,
8,0,8,0,,,2018_Nov_05_2209,1,tap,1011,None,
9,0,9,0,,,2018_Nov_05_2209,1,tap,1011,None,
10,0,10,0,,,2018_Nov_05_2209,1,tap,1011,None,
11,0,11,0,,,2018_Nov_05_2209,1,tap,1011,None,
12,0,12,0,,,2018_Nov_05_2209,1,tap,1011,None,
13,0,13,0,,,2018_Nov_05_2209,1,tap,1011,None,
14,0,14,0,,,2018_Nov_05_2209,1,tap,1011,None,
15,0,15,0,,,2018_Nov_05_2209,1,tap,1011,None,
16,0,16,0,,,2018_Nov_05_2209,1,tap,1011,None,
,,,,"['space', 'space', 'space', 'space']","[0.09561810000741389, 0.8101737999968464, 1.3819647000054829, 1.9432894000055967]",2018_Nov_05_2209,1,tap,1011,None,
