train_loop.thisRepN,train_loop.thisTrialN,train_loop.thisN,train_loop.thisIndex,button_press.keys,date,run,expName,participant,frameRate,
0,0,0,0,,2018_Nov_06_1106,1,tap,1015,None,
1,0,1,0,,2018_Nov_06_1106,1,tap,1015,None,
2,0,2,0,,2018_Nov_06_1106,1,tap,1015,None,
3,0,3,0,,2018_Nov_06_1106,1,tap,1015,None,
4,0,4,0,,2018_Nov_06_1106,1,tap,1015,None,
5,0,5,0,,2018_Nov_06_1106,1,tap,1015,None,
6,0,6,0,,2018_Nov_06_1106,1,tap,1015,None,
7,0,7,0,,2018_Nov_06_1106,1,tap,1015,None,
8,0,8,0,,2018_Nov_06_1106,1,tap,1015,None,
9,0,9,0,,2018_Nov_06_1106,1,tap,1015,None,
10,0,10,0,,2018_Nov_06_1106,1,tap,1015,None,
11,0,11,0,,2018_Nov_06_1106,1,tap,1015,None,
12,0,12,0,,2018_Nov_06_1106,1,tap,1015,None,
13,0,13,0,,2018_Nov_06_1106,1,tap,1015,None,
14,0,14,0,,2018_Nov_06_1106,1,tap,1015,None,
15,0,15,0,,2018_Nov_06_1106,1,tap,1015,None,
16,0,16,0,,2018_Nov_06_1106,1,tap,1015,None,
,,,,None,2018_Nov_06_1106,1,tap,1015,None,
