train_loop.thisRepN,train_loop.thisTrialN,train_loop.thisN,train_loop.thisIndex,button_press.keys,date,run,expName,participant,frameRate,
0,0,0,0,,2018_Nov_06_1120,1,tap,10,60.9440229162,
1,0,1,0,,2018_Nov_06_1120,1,tap,10,60.9440229162,
2,0,2,0,,2018_Nov_06_1120,1,tap,10,60.9440229162,
3,0,3,0,,2018_Nov_06_1120,1,tap,10,60.9440229162,
4,0,4,0,,2018_Nov_06_1120,1,tap,10,60.9440229162,
5,0,5,0,,2018_Nov_06_1120,1,tap,10,60.9440229162,
6,0,6,0,,2018_Nov_06_1120,1,tap,10,60.9440229162,
7,0,7,0,,2018_Nov_06_1120,1,tap,10,60.9440229162,
8,0,8,0,,2018_Nov_06_1120,1,tap,10,60.9440229162,
9,0,9,0,,2018_Nov_06_1120,1,tap,10,60.9440229162,
10,0,10,0,,2018_Nov_06_1120,1,tap,10,60.9440229162,
11,0,11,0,,2018_Nov_06_1120,1,tap,10,60.9440229162,
12,0,12,0,,2018_Nov_06_1120,1,tap,10,60.9440229162,
13,0,13,0,,2018_Nov_06_1120,1,tap,10,60.9440229162,
14,0,14,0,,2018_Nov_06_1120,1,tap,10,60.9440229162,
15,0,15,0,,2018_Nov_06_1120,1,tap,10,60.9440229162,
16,0,16,0,,2018_Nov_06_1120,1,tap,10,60.9440229162,
,,,,None,2018_Nov_06_1120,1,tap,10,60.9440229162,
