,RT,condition
0,0.4488914,practice
1,0.5639725,practice
2,0.6714616,practice
3,0.4601567,practice
4,0.5040672,practice
5,0.503336,practice
6,0.5446065,practice
7,0.587646,practice
8,0.5980462,practice
9,0.6150565,practice
10,0.5628985,practice
11,0.6021916,practice
12,0.6016015,practice
13,0.5660136,practice
14,0.597102,practice
15,0.6275546,practice
16,0.652335,practice
17,0.5488504,PRESS
18,0.7294661,PRESS
19,0.5201237,PRESS
20,0.5614198,PRESS
21,0.5028797,PRESS
22,0.3806346,PRESS
23,0.1601213,PRESS
24,0.2057854,PRESS
