1.3756 	ERROR 	avbin.dll failed to load. Try importing psychopy.visual
  as the first library (before anything that uses scipy)
  and make sure that avbin is installed.
4.7792 	WARNING 	User requested fullscreen with size [2160 1440], but screen is actually [1024, 768]. Using actual size
5.5189 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 1.,  1.,  1.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x2002C630>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1024,  768]), stereo=False, units=u'norm', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
5.5189 	EXP 	window1: recordFrameIntervals = False
5.6846 	EXP 	window1: recordFrameIntervals = True
5.8683 	EXP 	window1: recordFrameIntervals = False
6.0324 	EXP 	Created Instructions = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='Instructions', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
7.2338 	EXP 	Set  sound=C
20.9859 	EXP 	Set  sound=Newcastle Hospitals - unknown album - 00 - Progressive Muscle Relaxation - Male Voice.ogg
20.9860 	EXP 	Sound  set volume 1.000
21.0123 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
21.0154 	EXP 	Instructions: autoDraw = True
21.0154 	EXP 	Instructions: autoDraw = False
61.1659 	DATA 	Keypress: space
74.2540 	EXP 	Set  sound=Newcastle Hospitals - unknown album - 00 - Progressive Muscle Relaxation - Male Voice.ogg
74.2549 	EXP 	Sound  started
74.2551 	EXP 	Sound  stopped
74.2581 	EXP 	Instructions: autoDraw = False
74.2581 	EXP 	text: autoDraw = True
74.2581 	EXP 	text: autoDraw = False
109.5293 	DATA 	Keypress: space
109.5664 	EXP 	window1: mouseVisible = True
