train_loop.thisRepN,train_loop.thisTrialN,train_loop.thisN,train_loop.thisIndex,train_press.keys,train_press.rt,date,frameRate,expName,session,participant,
0,0,0,0,None,,2018_Sep_24_1222,59.4951927954,finger_tap,001,1,
1,0,1,0,None,,2018_Sep_24_1222,59.4951927954,finger_tap,001,1,
2,0,2,0,None,,2018_Sep_24_1222,59.4951927954,finger_tap,001,1,
3,0,3,0,['space'],[0.30000358787947334],2018_Sep_24_1222,59.4951927954,finger_tap,001,1,
4,0,4,0,['space'],[0.16095354089338798],2018_Sep_24_1222,59.4951927954,finger_tap,001,1,
5,0,5,0,['space'],[0.10359165712725371],2018_Sep_24_1222,59.4951927954,finger_tap,001,1,
6,0,6,0,['space'],[0.06696575325622689],2018_Sep_24_1222,59.4951927954,finger_tap,001,1,
7,0,7,0,['space'],[0.06334587796300184],2018_Sep_24_1222,59.4951927954,finger_tap,001,1,
8,0,8,0,['space'],[0.06872041820315644],2018_Sep_24_1222,59.4951927954,finger_tap,001,1,
9,0,9,0,['space'],[0.06928672069625463],2018_Sep_24_1222,59.4951927954,finger_tap,001,1,
10,0,10,0,['space'],[0.06979775050422177],2018_Sep_24_1222,59.4951927954,finger_tap,001,1,
11,0,11,0,['space'],[0.0365914796711877],2018_Sep_24_1222,59.4951927954,finger_tap,001,1,
12,0,12,0,['space'],[0.038689417036948726],2018_Sep_24_1222,59.4951927954,finger_tap,001,1,
13,0,13,0,['space'],[0.08561203819408547],2018_Sep_24_1222,59.4951927954,finger_tap,001,1,
14,0,14,0,['space'],[0.04829668042657431],2018_Sep_24_1222,59.4951927954,finger_tap,001,1,
15,0,15,0,['space'],[0.0005183025205042213],2018_Sep_24_1222,59.4951927954,finger_tap,001,1,
16,0,16,0,['space'],[0.070899325190112],2018_Sep_24_1222,59.4951927954,finger_tap,001,1,
