6.2216 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [3240, 2160]. Using actual size
7.4601 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x1F2EC230>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([3240, 2160]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType=u'pyglet')
7.4602 	EXP 	window1: recordFrameIntervals = False
7.6268 	EXP 	window1: recordFrameIntervals = True
7.8121 	EXP 	window1: recordFrameIntervals = False
8.1438 	EXP 	Created instructions_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='instructions_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=newstr(...), units=u'norm', win=Window(...), wrapWidth=1)
8.1693 	EXP 	Sound  set volume 1.000
8.1826 	EXP 	instructions_text: autoDraw = True
12.9144 	DATA 	Keypress: space
12.9168 	EXP 	Created sequence: random, trialTypes=1, nReps=17, seed=None
12.9181 	EXP 	New trial (rep=0, index=0): None
12.9340 	EXP 	instructions_text: autoDraw = False
13.5137 	EXP 	New trial (rep=1, index=0): None
13.7313 	DATA 	Keypress: space
14.1149 	EXP 	New trial (rep=2, index=0): None
14.2789 	DATA 	Keypress: space
14.7152 	EXP 	New trial (rep=3, index=0): None
14.8611 	DATA 	Keypress: space
15.3145 	EXP 	New trial (rep=4, index=0): None
15.4453 	DATA 	Keypress: space
15.9151 	EXP 	New trial (rep=5, index=0): None
16.0465 	DATA 	Keypress: space
16.5118 	EXP 	New trial (rep=6, index=0): None
16.6294 	DATA 	Keypress: space
17.1147 	EXP 	New trial (rep=7, index=0): None
17.1810 	DATA 	Keypress: space
17.7148 	EXP 	New trial (rep=8, index=0): None
17.7824 	DATA 	Keypress: space
18.3156 	EXP 	New trial (rep=9, index=0): None
18.3624 	DATA 	Keypress: space
18.9176 	EXP 	New trial (rep=10, index=0): None
18.9631 	DATA 	Keypress: space
19.5152 	EXP 	New trial (rep=11, index=0): None
19.6129 	DATA 	Keypress: space
20.1112 	EXP 	New trial (rep=12, index=0): None
20.2141 	DATA 	Keypress: space
20.7117 	EXP 	New trial (rep=13, index=0): None
20.8119 	DATA 	Keypress: space
21.3146 	EXP 	New trial (rep=14, index=0): None
21.4155 	DATA 	Keypress: space
21.9158 	EXP 	New trial (rep=15, index=0): None
22.0133 	DATA 	Keypress: space
22.5155 	EXP 	New trial (rep=16, index=0): None
22.6132 	DATA 	Keypress: space
23.2115 	DATA 	Keypress: space
23.9489 	DATA 	Keypress: space
24.4965 	DATA 	Keypress: space
25.0624 	DATA 	Keypress: space
25.6631 	DATA 	Keypress: space
26.2631 	DATA 	Keypress: space
26.8467 	DATA 	Keypress: space
27.4156 	DATA 	Keypress: space
28.1342 	DATA 	Keypress: space
28.7136 	DATA 	Keypress: space
29.2648 	DATA 	Keypress: space
29.8317 	DATA 	Keypress: space
30.3951 	DATA 	Keypress: space
30.9621 	DATA 	Keypress: space
31.5330 	DATA 	Keypress: space
32.1634 	DATA 	Keypress: space
32.7129 	DATA 	Keypress: space
33.2983 	DATA 	Keypress: space
33.8947 	DATA 	Keypress: space
34.4649 	DATA 	Keypress: space
36.1486 	DATA 	Keypress: space
36.7817 	DATA 	Keypress: escape
36.8580 	EXP 	window1: mouseVisible = True
