2.9340 	WARNING 	psychopy.parallel has been imported but no parallel port driver found. Install either inpout32 or dlportio
5.7860 	WARNING 	User requested fullscreen with size [2160 1440], but screen is actually [3240, 2160]. Using actual size
6.7871 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=u'white', colorSpace='named', fullscr=UNKNOWN, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x1F7B63F0>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([3240, 2160]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType=u'pyglet')
6.7872 	EXP 	window1: recordFrameIntervals = False
6.9549 	EXP 	window1: recordFrameIntervals = True
7.1385 	EXP 	window1: recordFrameIntervals = False
7.5031 	EXP 	Created instructions_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='instructions_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=newstr(...), units=u'norm', win=Window(...), wrapWidth=1)
7.5269 	EXP 	Sound  set volume 1.000
7.5454 	EXP 	instructions_text: autoDraw = True
8.0935 	DATA 	Keypress: space
8.0954 	EXP 	Created sequence: random, trialTypes=1, nReps=17, seed=None
8.0965 	EXP 	New trial (rep=0, index=0): None
8.1120 	EXP 	instructions_text: autoDraw = False
8.5895 	DATA 	Keypress: space
8.6898 	EXP 	New trial (rep=1, index=0): None
9.1245 	DATA 	Keypress: space
9.2900 	EXP 	New trial (rep=2, index=0): None
9.6901 	DATA 	Keypress: space
9.8881 	EXP 	New trial (rep=3, index=0): None
10.2081 	DATA 	Keypress: space
10.4900 	EXP 	New trial (rep=4, index=0): None
10.7394 	DATA 	Keypress: space
11.0877 	EXP 	New trial (rep=5, index=0): None
11.2373 	DATA 	Keypress: space
11.6881 	EXP 	New trial (rep=6, index=0): None
11.8895 	DATA 	Keypress: space
12.2902 	EXP 	New trial (rep=7, index=0): None
12.4379 	DATA 	Keypress: space
12.8917 	EXP 	New trial (rep=8, index=0): None
13.0569 	DATA 	Keypress: space
13.4889 	EXP 	New trial (rep=9, index=0): None
13.6064 	DATA 	Keypress: space
14.0874 	EXP 	New trial (rep=10, index=0): None
14.2399 	DATA 	Keypress: space
14.6893 	EXP 	New trial (rep=11, index=0): None
14.8229 	DATA 	Keypress: space
15.2900 	EXP 	New trial (rep=12, index=0): None
15.4707 	DATA 	Keypress: space
15.8899 	EXP 	New trial (rep=13, index=0): None
16.0396 	DATA 	Keypress: space
16.4869 	EXP 	New trial (rep=14, index=0): None
16.5864 	DATA 	Keypress: space
17.0900 	EXP 	New trial (rep=15, index=0): None
17.2404 	DATA 	Keypress: space
17.6900 	EXP 	New trial (rep=16, index=0): None
17.8239 	DATA 	Keypress: space
18.4410 	DATA 	Keypress: space
19.1257 	DATA 	Keypress: space
19.6897 	DATA 	Keypress: space
20.3079 	DATA 	Keypress: space
20.8740 	DATA 	Keypress: space
21.5041 	DATA 	Keypress: space
22.0894 	DATA 	Keypress: space
22.6874 	DATA 	Keypress: space
23.2709 	DATA 	Keypress: space
23.8710 	DATA 	Keypress: space
24.5092 	DATA 	Keypress: space
25.1091 	DATA 	Keypress: space
25.7925 	DATA 	Keypress: space
26.3718 	DATA 	Keypress: space
26.9572 	DATA 	Keypress: space
27.5247 	DATA 	Keypress: space
28.0912 	DATA 	Keypress: space
28.7427 	DATA 	Keypress: space
29.3418 	DATA 	Keypress: space
29.9417 	DATA 	Keypress: space
30.5730 	DATA 	Keypress: space
31.1919 	DATA 	Keypress: space
31.8392 	DATA 	Keypress: space
32.3950 	DATA 	Keypress: space
33.0260 	DATA 	Keypress: space
33.6754 	DATA 	Keypress: space
34.2387 	DATA 	Keypress: space
34.8241 	DATA 	Keypress: space
35.3914 	DATA 	Keypress: space
35.9587 	DATA 	Keypress: space
36.5564 	DATA 	Keypress: space
37.0750 	DATA 	Keypress: space
37.6587 	DATA 	Keypress: space
38.2222 	DATA 	Keypress: space
38.7592 	DATA 	Keypress: space
39.3397 	DATA 	Keypress: space
39.9055 	DATA 	Keypress: space
40.5230 	DATA 	Keypress: space
41.0917 	DATA 	Keypress: space
41.7070 	DATA 	Keypress: space
42.2744 	DATA 	Keypress: space
42.4092 	EXP 	window1: mouseVisible = True
