train_loop.thisRepN,train_loop.thisTrialN,train_loop.thisN,train_loop.thisIndex,train_press.keys,train_press.rt,button_press.keys,button_press.rt,date,frameRate,expName,session,participant,
0,0,0,0,None,,,,2018_Sep_24_1330,60.9230760184,finger_tap,001,333,
1,0,1,0,['space'],[0.3182779943890637],,,2018_Sep_24_1330,60.9230760184,finger_tap,001,333,
2,0,2,0,['space'],[0.26859416379011236],,,2018_Sep_24_1330,60.9230760184,finger_tap,001,333,
3,0,3,0,['space'],[0.2183706973301014],,,2018_Sep_24_1330,60.9230760184,finger_tap,001,333,
4,0,4,0,['space'],[0.27249331152415834],,,2018_Sep_24_1330,60.9230760184,finger_tap,001,333,
5,0,5,0,['space'],[0.1857767895417055],,,2018_Sep_24_1330,60.9230760184,finger_tap,001,333,
6,0,6,0,['space'],[0.15241439765668474],,,2018_Sep_24_1330,60.9230760184,finger_tap,001,333,
7,0,7,0,['space'],[0.18315861026349012],,,2018_Sep_24_1330,60.9230760184,finger_tap,001,333,
8,0,8,0,['space'],[0.18315424663887825],,,2018_Sep_24_1330,60.9230760184,finger_tap,001,333,
9,0,9,0,['space'],[0.20357459047227167],,,2018_Sep_24_1330,60.9230760184,finger_tap,001,333,
10,0,10,0,['space'],[0.09845372271956876],,,2018_Sep_24_1330,60.9230760184,finger_tap,001,333,
11,0,11,0,['space'],[0.13526920217555016],,,2018_Sep_24_1330,60.9230760184,finger_tap,001,333,
12,0,12,0,['space'],[0.18705872769351117],,,2018_Sep_24_1330,60.9230760184,finger_tap,001,333,
13,0,13,0,['space'],[0.15078773256391287],,,2018_Sep_24_1330,60.9230760184,finger_tap,001,333,
14,0,14,0,['space'],[0.16876929088903125],,,2018_Sep_24_1330,60.9230760184,finger_tap,001,333,
15,0,15,0,['space'],[0.2142800346337026],,,2018_Sep_24_1330,60.9230760184,finger_tap,001,333,
16,0,16,0,['space'],[0.18203327803348657],,,2018_Sep_24_1330,60.9230760184,finger_tap,001,333,
,,,,,,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[0.22031493787653744, 0.8642813437181758, 1.5001231513888342, 2.0977346931031207, 2.717161486390978, 3.31800793405273, 5.932188671809854, 6.484335530345561, 7.317723328262218, 7.834826341990265, 8.417952564414009, 8.986784012813587, 9.586973006575136, 10.151587731787004, 10.787943478353554, 11.402815609384561, 11.966896032099612, 12.57068744659773, 13.150177308911225, 13.737359284976264, 14.285945419687778, 14.836137855862034, 15.386534897901583, 15.902224094810663, 16.45381192358036, 17.016820832170197, 17.58705979435763, 18.153479608750786, 18.73686037637526, 19.302536918752594, 19.869305823696777, 20.420120319875423, 21.020589070947608, 21.538176932677743, 22.052049888923648, 22.6014476591954, 23.172597650816897, 23.753774299373617]",2018_Sep_24_1330,60.9230760184,finger_tap,001,333,
