7.7350 	WARNING 	User requested fullscreen with size [2160 1440], but screen is actually [3240, 2160]. Using actual size
9.1337 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color='black', colorSpace='named', fullscr=UNKNOWN, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x21269F30>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([3240, 2160]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType=u'pyglet')
9.1338 	EXP 	window1: recordFrameIntervals = False
9.2977 	EXP 	window1: recordFrameIntervals = True
9.4821 	EXP 	window1: recordFrameIntervals = False
9.8705 	EXP 	Created instructions_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='instructions_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=newstr(...), units=u'norm', win=Window(...), wrapWidth=1)
9.8710 	EXP 	Created blank_iti = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='blank_iti', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text='', units=u'norm', win=Window(...), wrapWidth=1)
9.8777 	EXP 	Created crosshair = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=0.1, italic=False, name='crosshair', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text='+', units=u'norm', win=Window(...), wrapWidth=1)
9.9787 	EXP 	Sound  set volume 1.000
10.0064 	EXP 	instructions_text: autoDraw = True
33.7682 	DATA 	Keypress: space
33.7819 	EXP 	instructions_text: autoDraw = False
33.7819 	EXP 	blank_iti: autoDraw = True
34.7662 	EXP 	Created sequence: random, trialTypes=1, nReps=17, seed=None
34.7665 	EXP 	New trial (rep=0, index=0): None
34.7823 	EXP 	blank_iti: autoDraw = False
34.7823 	EXP 	blank_iti: autoDraw = False
34.7823 	EXP 	crosshair: autoDraw = True
34.7823 	EXP 	crosshair: autoDraw = True
35.0499 	DATA 	Keypress: space
35.3670 	EXP 	New trial (rep=1, index=0): None
35.3831 	EXP 	crosshair: autoDraw = True
35.5183 	DATA 	Keypress: space
35.9683 	EXP 	New trial (rep=2, index=0): None
35.9852 	EXP 	crosshair: autoDraw = True
36.0664 	DATA 	Keypress: space
36.5704 	EXP 	New trial (rep=3, index=0): None
36.5872 	EXP 	crosshair: autoDraw = True
36.6060 	DATA 	Keypress: space
37.1685 	EXP 	New trial (rep=4, index=0): None
37.1853 	EXP 	crosshair: autoDraw = True
37.2143 	DATA 	Keypress: space
37.7699 	EXP 	New trial (rep=5, index=0): None
