5.3366 	WARNING 	User requested fullscreen with size [2160 1440], but screen is actually [3240, 2160]. Using actual size
6.8987 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=u'white', colorSpace='named', fullscr=UNKNOWN, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x21C38ED0>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([3240, 2160]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType=u'pyglet')
6.8988 	EXP 	window1: recordFrameIntervals = False
7.0645 	EXP 	window1: recordFrameIntervals = True
7.2483 	EXP 	window1: recordFrameIntervals = False
7.5833 	EXP 	Created instructions_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='instructions_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=newstr(...), units=u'norm', win=Window(...), wrapWidth=1)
7.5838 	EXP 	Created blank_iti = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='blank_iti', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text='', units=u'norm', win=Window(...), wrapWidth=1)
7.6154 	EXP 	Sound  set volume 1.000
7.6332 	EXP 	instructions_text: autoDraw = True
8.1930 	DATA 	Keypress: space
8.2147 	EXP 	instructions_text: autoDraw = False
8.2147 	EXP 	blank_iti: autoDraw = True
9.1835 	EXP 	Created sequence: random, trialTypes=1, nReps=17, seed=None
9.2044 	EXP 	Created crosshair = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=0.1, italic=False, name='crosshair', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text='+', units=u'norm', win=Window(...), wrapWidth=1)
9.2051 	EXP 	New trial (rep=0, index=0): None
9.2183 	EXP 	blank_iti: autoDraw = False
9.2183 	EXP 	blank_iti: autoDraw = False
9.2183 	EXP 	crosshair: autoDraw = True
9.2183 	EXP 	crosshair: autoDraw = True
9.5309 	DATA 	Keypress: space
9.7997 	EXP 	New trial (rep=1, index=0): None
9.8177 	EXP 	crosshair: autoDraw = True
10.0023 	DATA 	Keypress: space
10.3994 	EXP 	New trial (rep=2, index=0): None
10.4164 	EXP 	crosshair: autoDraw = True
10.5310 	DATA 	Keypress: space
10.9996 	EXP 	New trial (rep=3, index=0): None
11.0165 	EXP 	crosshair: autoDraw = True
11.1362 	DATA 	Keypress: space
11.5988 	EXP 	New trial (rep=4, index=0): None
11.6282 	EXP 	crosshair: autoDraw = True
11.7331 	DATA 	Keypress: space
12.1996 	EXP 	New trial (rep=5, index=0): None
12.2166 	EXP 	crosshair: autoDraw = True
12.3340 	DATA 	Keypress: space
12.7995 	EXP 	New trial (rep=6, index=0): None
12.8163 	EXP 	crosshair: autoDraw = True
12.9308 	DATA 	Keypress: space
13.3999 	EXP 	New trial (rep=7, index=0): None
13.4171 	EXP 	crosshair: autoDraw = True
13.5009 	DATA 	Keypress: space
13.9989 	EXP 	New trial (rep=8, index=0): None
14.0147 	EXP 	crosshair: autoDraw = True
14.0654 	DATA 	Keypress: space
14.5990 	EXP 	New trial (rep=9, index=0): None
14.6151 	EXP 	crosshair: autoDraw = True
14.6510 	DATA 	Keypress: space
15.1998 	EXP 	New trial (rep=10, index=0): None
15.2175 	EXP 	crosshair: autoDraw = True
15.2661 	DATA 	Keypress: space
15.7974 	EXP 	New trial (rep=11, index=0): None
15.8135 	EXP 	crosshair: autoDraw = True
15.8138 	DATA 	Keypress: space
16.4008 	EXP 	New trial (rep=12, index=0): None
16.4179 	EXP 	crosshair: autoDraw = True
16.4656 	DATA 	Keypress: space
16.9981 	EXP 	New trial (rep=13, index=0): None
17.0001 	DATA 	Keypress: space
17.0146 	EXP 	crosshair: autoDraw = True
17.5495 	DATA 	Keypress: space
17.5999 	EXP 	New trial (rep=14, index=0): None
17.6175 	EXP 	crosshair: autoDraw = True
18.1375 	DATA 	Keypress: space
18.2262 	EXP 	New trial (rep=15, index=0): None
18.2418 	EXP 	crosshair: autoDraw = True
18.7146 	DATA 	Keypress: space
18.8002 	EXP 	New trial (rep=16, index=0): None
18.8177 	EXP 	crosshair: autoDraw = True
19.2830 	DATA 	Keypress: space
19.9817 	DATA 	Keypress: space
20.5175 	DATA 	Keypress: space
21.0484 	DATA 	Keypress: space
21.6342 	DATA 	Keypress: space
22.2002 	DATA 	Keypress: space
22.7652 	DATA 	Keypress: space
23.3168 	DATA 	Keypress: space
23.8657 	DATA 	Keypress: space
24.4208 	DATA 	Keypress: space
24.9666 	DATA 	Keypress: space
25.5340 	DATA 	Keypress: space
26.0833 	DATA 	Keypress: space
26.6693 	DATA 	Keypress: space
27.1839 	DATA 	Keypress: space
27.7337 	DATA 	Keypress: space
28.2820 	DATA 	Keypress: space
28.8502 	DATA 	Keypress: space
29.4031 	DATA 	Keypress: space
30.0334 	DATA 	Keypress: space
30.5991 	DATA 	Keypress: space
31.1527 	DATA 	Keypress: space
31.6656 	DATA 	Keypress: space
32.2175 	DATA 	Keypress: space
32.7490 	DATA 	Keypress: space
33.3170 	DATA 	Keypress: space
33.8848 	DATA 	Keypress: space
34.4173 	DATA 	Keypress: space
34.9680 	DATA 	Keypress: space
35.5636 	DATA 	Keypress: space
36.1041 	DATA 	Keypress: space
36.6525 	DATA 	Keypress: space
37.2346 	DATA 	Keypress: space
