train_loop.thisRepN,train_loop.thisTrialN,train_loop.thisN,train_loop.thisIndex,date,frameRate,expName,session,participant,
0,0,0,0,2018_Oct_10_1701,59.9613631303,finger_tap,001,col,
1,0,1,0,2018_Oct_10_1701,59.9613631303,finger_tap,001,col,
2,0,2,0,2018_Oct_10_1701,59.9613631303,finger_tap,001,col,
3,0,3,0,2018_Oct_10_1701,59.9613631303,finger_tap,001,col,
4,0,4,0,2018_Oct_10_1701,59.9613631303,finger_tap,001,col,
5,0,5,0,2018_Oct_10_1701,59.9613631303,finger_tap,001,col,
6,0,6,0,2018_Oct_10_1701,59.9613631303,finger_tap,001,col,
7,0,7,0,2018_Oct_10_1701,59.9613631303,finger_tap,001,col,
8,0,8,0,2018_Oct_10_1701,59.9613631303,finger_tap,001,col,
9,0,9,0,2018_Oct_10_1701,59.9613631303,finger_tap,001,col,
10,0,10,0,2018_Oct_10_1701,59.9613631303,finger_tap,001,col,
11,0,11,0,2018_Oct_10_1701,59.9613631303,finger_tap,001,col,
12,0,12,0,2018_Oct_10_1701,59.9613631303,finger_tap,001,col,
13,0,13,0,2018_Oct_10_1701,59.9613631303,finger_tap,001,col,
14,0,14,0,2018_Oct_10_1701,59.9613631303,finger_tap,001,col,
15,0,15,0,2018_Oct_10_1701,59.9613631303,finger_tap,001,col,
16,0,16,0,2018_Oct_10_1701,59.9613631303,finger_tap,001,col,
