5.5478 	WARNING 	User requested fullscreen with size [2160 1440], but screen is actually [3240, 2160]. Using actual size
7.2265 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color='black', colorSpace='named', fullscr=UNKNOWN, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x207BDF10>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([3240, 2160]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType=u'pyglet')
7.2266 	EXP 	window1: recordFrameIntervals = False
7.3935 	EXP 	window1: recordFrameIntervals = True
7.5773 	EXP 	window1: recordFrameIntervals = False
7.9295 	EXP 	Created instructions_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='instructions_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=newstr(...), units=u'norm', win=Window(...), wrapWidth=1)
7.9301 	EXP 	Created blank_iti = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='blank_iti', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text='', units=u'norm', win=Window(...), wrapWidth=1)
7.9347 	EXP 	Created crosshair = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=0.1, italic=False, name='crosshair', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text='+', units=u'norm', win=Window(...), wrapWidth=1)
8.0374 	EXP 	Sound  set volume 1.000
8.0655 	EXP 	instructions_text: autoDraw = True
10.4693 	DATA 	Keypress: space
10.5098 	EXP 	instructions_text: autoDraw = False
10.5098 	EXP 	blank_iti: autoDraw = True
11.4792 	EXP 	Created sequence: random, trialTypes=1, nReps=17, seed=None
11.4803 	EXP 	New trial (rep=0, index=0): None
11.4993 	EXP 	blank_iti: autoDraw = False
11.4993 	EXP 	blank_iti: autoDraw = False
11.4993 	EXP 	crosshair: autoDraw = True
11.4993 	EXP 	crosshair: autoDraw = True
12.0796 	EXP 	New trial (rep=1, index=0): None
12.0969 	EXP 	crosshair: autoDraw = True
12.6786 	EXP 	New trial (rep=2, index=0): None
12.6956 	EXP 	crosshair: autoDraw = True
12.8933 	DATA 	Keypress: space
13.2772 	EXP 	New trial (rep=3, index=0): None
13.2929 	EXP 	crosshair: autoDraw = True
13.3272 	DATA 	Keypress: space
13.8783 	EXP 	New trial (rep=4, index=0): None
13.8952 	EXP 	crosshair: autoDraw = True
13.9285 	DATA 	Keypress: space
14.4795 	EXP 	New trial (rep=5, index=0): None
14.4963 	EXP 	crosshair: autoDraw = True
14.5423 	DATA 	Keypress: space
15.0786 	EXP 	New trial (rep=6, index=0): None
15.0950 	EXP 	crosshair: autoDraw = True
15.1665 	DATA 	Keypress: space
15.6798 	EXP 	New trial (rep=7, index=0): None
15.6972 	EXP 	crosshair: autoDraw = True
15.7783 	DATA 	Keypress: space
16.2783 	EXP 	New trial (rep=8, index=0): None
16.2936 	EXP 	crosshair: autoDraw = True
16.3790 	DATA 	Keypress: space
16.8798 	EXP 	New trial (rep=9, index=0): None
16.8969 	EXP 	crosshair: autoDraw = True
16.9462 	DATA 	Keypress: space
17.4797 	EXP 	New trial (rep=10, index=0): None
17.4970 	EXP 	crosshair: autoDraw = True
17.5620 	DATA 	Keypress: space
18.0792 	EXP 	New trial (rep=11, index=0): None
18.0960 	EXP 	crosshair: autoDraw = True
18.1287 	DATA 	Keypress: space
18.6799 	EXP 	New trial (rep=12, index=0): None
18.6969 	EXP 	crosshair: autoDraw = True
18.7162 	DATA 	Keypress: space
19.2791 	EXP 	New trial (rep=13, index=0): None
19.3075 	EXP 	crosshair: autoDraw = True
19.3276 	DATA 	Keypress: space
19.8776 	EXP 	New trial (rep=14, index=0): None
19.8937 	EXP 	crosshair: autoDraw = True
19.9144 	DATA 	Keypress: space
20.4796 	DATA 	Keypress: space
20.4809 	EXP 	New trial (rep=15, index=0): None
20.4974 	EXP 	crosshair: autoDraw = True
21.0768 	DATA 	Keypress: space
21.0774 	EXP 	New trial (rep=16, index=0): None
21.0931 	EXP 	crosshair: autoDraw = True
21.6495 	DATA 	Keypress: space
22.2778 	DATA 	Keypress: space
22.8825 	DATA 	Keypress: space
23.4120 	DATA 	Keypress: space
23.9466 	DATA 	Keypress: space
24.1776 	DATA 	Keypress: escape
24.2335 	EXP 	window1: mouseVisible = True
