train_loop.thisRepN,train_loop.thisTrialN,train_loop.thisN,train_loop.thisIndex,date,frameRate,expName,session,participant,
0,0,0,0,2018_Oct_10_1642,59.6611253117,finger_tap,001,tets,
1,0,1,0,2018_Oct_10_1642,59.6611253117,finger_tap,001,tets,
2,0,2,0,2018_Oct_10_1642,59.6611253117,finger_tap,001,tets,
3,0,3,0,2018_Oct_10_1642,59.6611253117,finger_tap,001,tets,
4,0,4,0,2018_Oct_10_1642,59.6611253117,finger_tap,001,tets,
5,0,5,0,2018_Oct_10_1642,59.6611253117,finger_tap,001,tets,
6,0,6,0,2018_Oct_10_1642,59.6611253117,finger_tap,001,tets,
7,0,7,0,2018_Oct_10_1642,59.6611253117,finger_tap,001,tets,
8,0,8,0,2018_Oct_10_1642,59.6611253117,finger_tap,001,tets,
9,0,9,0,2018_Oct_10_1642,59.6611253117,finger_tap,001,tets,
10,0,10,0,2018_Oct_10_1642,59.6611253117,finger_tap,001,tets,
11,0,11,0,2018_Oct_10_1642,59.6611253117,finger_tap,001,tets,
12,0,12,0,2018_Oct_10_1642,59.6611253117,finger_tap,001,tets,
13,0,13,0,2018_Oct_10_1642,59.6611253117,finger_tap,001,tets,
14,0,14,0,2018_Oct_10_1642,59.6611253117,finger_tap,001,tets,
15,0,15,0,2018_Oct_10_1642,59.6611253117,finger_tap,001,tets,
16,0,16,0,2018_Oct_10_1642,59.6611253117,finger_tap,001,tets,
