block,sep_dur,Tx,trial,stimulus,cond,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,stim.thisRepN,stim.thisTrialN,stim.thisN,stim.thisIndex,usr_input_t1.keys,usr_input_t1.rt,usr_input_t2.keys,usr_input_t2.rt,date,participant,expName,run,frameRate,
1,short,t1,1,5,target,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2018_Oct_17_1452,1001,RSVP,run1,59.9108815712,
1,short,t1,2,N,distractor,0,0,0,0,0,0,0,0,0,1,1,1,,,,,2018_Oct_17_1452,1001,RSVP,run1,59.9108815712,
1,short,t1,3,Y,distractor,0,0,0,0,0,0,0,0,0,2,2,2,,,,,2018_Oct_17_1452,1001,RSVP,run1,59.9108815712,
1,short,t1,4,S,distractor,0,0,0,0,0,0,0,0,0,3,3,3,,,,,2018_Oct_17_1452,1001,RSVP,run1,59.9108815712,
1,short,t1,5, ,mask,0,0,0,0,0,0,0,0,0,4,4,4,,,,,2018_Oct_17_1452,1001,RSVP,run1,59.9108815712,
1,short,t1,6,K,distractor,0,0,0,0,0,0,0,0,0,5,5,5,,,,,2018_Oct_17_1452,1001,RSVP,run1,59.9108815712,
1,short,t1,7,L,distractor,0,0,0,0,0,0,0,0,0,6,6,6,,,,,2018_Oct_17_1452,1001,RSVP,run1,59.9108815712,
1,short,t1,8,P,distractor,0,0,0,0,0,0,0,0,0,7,7,7,,,,,2018_Oct_17_1452,1001,RSVP,run1,59.9108815712,
1,short,t1,9,D,distractor,0,0,0,0,0,0,0,0,0,8,8,8,,,,,2018_Oct_17_1452,1001,RSVP,run1,59.9108815712,
1,short,t1,10,Q,distractor,0,0,0,0,0,0,0,0,0,9,9,9,,,,,2018_Oct_17_1452,1001,RSVP,run1,59.9108815712,
1,short,t1,11,Q,distractor,0,0,0,0,0,0,0,0,0,10,10,10,,,,,2018_Oct_17_1452,1001,RSVP,run1,59.9108815712,
1,short,t1,12,A,distractor,0,0,0,0,0,0,0,0,0,11,11,11,,,,,2018_Oct_17_1452,1001,RSVP,run1,59.9108815712,
1,short,t1,13,W,distractor,0,0,0,0,0,0,0,0,0,12,12,12,,,,,2018_Oct_17_1452,1001,RSVP,run1,59.9108815712,
1,short,t1,14,C,distractor,0,0,0,0,0,0,0,0,0,13,13,13,,,,,2018_Oct_17_1452,1001,RSVP,run1,59.9108815712,
1,short,t1,15,A,distractor,0,0,0,0,0,0,0,0,0,14,14,14,,,,,2018_Oct_17_1452,1001,RSVP,run1,59.9108815712,
,,,,,,0,0,0,0,0,0,0,0,,,,,3,1.3093195727,3,0.168119920592,2018_Oct_17_1452,1001,RSVP,run1,59.9108815712,
2,short,t1,1,P,distractor,0,0,0,0,1,0,1,0,0,0,0,0,,,,,2018_Oct_17_1452,1001,RSVP,run1,59.9108815712,
2,short,t1,2,N,distractor,0,0,0,0,1,0,1,0,0,1,1,1,,,,,2018_Oct_17_1452,1001,RSVP,run1,59.9108815712,
2,short,t1,3,R,distractor,0,0,0,0,1,0,1,0,0,2,2,2,,,,,2018_Oct_17_1452,1001,RSVP,run1,59.9108815712,
2,short,t1,4,P,distractor,0,0,0,0,1,0,1,0,0,3,3,3,,,,,2018_Oct_17_1452,1001,RSVP,run1,59.9108815712,
2,short,t1,5,Z,distractor,0,0,0,0,1,0,1,0,0,4,4,4,,,,,2018_Oct_17_1452,1001,RSVP,run1,59.9108815712,
2,short,t1,6,O,distractor,0,0,0,0,1,0,1,0,0,5,5,5,,,,,2018_Oct_17_1452,1001,RSVP,run1,59.9108815712,
2,short,t1,7,R,distractor,0,0,0,0,1,0,1,0,0,6,6,6,,,,,2018_Oct_17_1452,1001,RSVP,run1,59.9108815712,
2,short,t1,8,D,distractor,0,0,0,0,1,0,1,0,0,7,7,7,,,,,2018_Oct_17_1452,1001,RSVP,run1,59.9108815712,
2,short,t1,9,U,distractor,0,0,0,0,1,0,1,0,0,8,8,8,,,,,2018_Oct_17_1452,1001,RSVP,run1,59.9108815712,
2,short,t1,10,L,distractor,0,0,0,0,1,0,1,0,0,9,9,9,,,,,2018_Oct_17_1452,1001,RSVP,run1,59.9108815712,
2,short,t1,11,2,target,0,0,0,0,1,0,1,0,0,10,10,10,,,,,2018_Oct_17_1452,1001,RSVP,run1,59.9108815712,
2,short,t1,12,P,distractor,0,0,0,0,1,0,1,0,0,11,11,11,,,,,2018_Oct_17_1452,1001,RSVP,run1,59.9108815712,
2,short,t1,13,V,distractor,0,0,0,0,1,0,1,0,0,12,12,12,,,,,2018_Oct_17_1452,1001,RSVP,run1,59.9108815712,
2,short,t1,14,F,distractor,0,0,0,0,1,0,1,0,0,13,13,13,,,,,2018_Oct_17_1452,1001,RSVP,run1,59.9108815712,
2,short,t1,15, ,mask,0,0,0,0,1,0,1,0,0,14,14,14,,,,,2018_Oct_17_1452,1001,RSVP,run1,59.9108815712,
2,short,t1,16,V,distractor,0,0,0,0,1,0,1,0,0,15,15,15,,,,,2018_Oct_17_1452,1001,RSVP,run1,59.9108815712,
