block,sep_dur,Tx,trial,stimulus,cond,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,stim.thisRepN,stim.thisTrialN,stim.thisN,stim.thisIndex,usr_input_t1.keys,usr_input_t1.rt,usr_input_t2.keys,usr_input_t2.rt,date,participant,expName,run,frameRate,
1,long,t2,1,O,distractor,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2018_Oct_17_1530,1001,rsvp,r2,59.8208707699,
1,long,t2,2,N,distractor,0,0,0,0,0,0,0,0,0,1,1,1,,,,,2018_Oct_17_1530,1001,rsvp,r2,59.8208707699,
1,long,t2,3,2,target,0,0,0,0,0,0,0,0,0,2,2,2,,,,,2018_Oct_17_1530,1001,rsvp,r2,59.8208707699,
1,long,t2,4,T,distractor,0,0,0,0,0,0,0,0,0,3,3,3,,,,,2018_Oct_17_1530,1001,rsvp,r2,59.8208707699,
1,long,t2,5,A,distractor,0,0,0,0,0,0,0,0,0,4,4,4,,,,,2018_Oct_17_1530,1001,rsvp,r2,59.8208707699,
1,long,t2,6,Q,distractor,0,0,0,0,0,0,0,0,0,5,5,5,,,,,2018_Oct_17_1530,1001,rsvp,r2,59.8208707699,
1,long,t2,7,M,distractor,0,0,0,0,0,0,0,0,0,6,6,6,,,,,2018_Oct_17_1530,1001,rsvp,r2,59.8208707699,
1,long,t2,8,Z,distractor,0,0,0,0,0,0,0,0,0,7,7,7,,,,,2018_Oct_17_1530,1001,rsvp,r2,59.8208707699,
1,long,t2,9,V,distractor,0,0,0,0,0,0,0,0,0,8,8,8,,,,,2018_Oct_17_1530,1001,rsvp,r2,59.8208707699,
1,long,t2,10,J,distractor,0,0,0,0,0,0,0,0,0,9,9,9,,,,,2018_Oct_17_1530,1001,rsvp,r2,59.8208707699,
1,long,t2,11,8,target,0,0,0,0,0,0,0,0,0,10,10,10,,,,,2018_Oct_17_1530,1001,rsvp,r2,59.8208707699,
1,long,t2,12,A,distractor,0,0,0,0,0,0,0,0,0,11,11,11,,,,,2018_Oct_17_1530,1001,rsvp,r2,59.8208707699,
1,long,t2,13,Z,distractor,0,0,0,0,0,0,0,0,0,12,12,12,,,,,2018_Oct_17_1530,1001,rsvp,r2,59.8208707699,
1,long,t2,14,I,distractor,0,0,0,0,0,0,0,0,0,13,13,13,,,,,2018_Oct_17_1530,1001,rsvp,r2,59.8208707699,
1,long,t2,15,X,distractor,0,0,0,0,0,0,0,0,0,14,14,14,,,,,2018_Oct_17_1530,1001,rsvp,r2,59.8208707699,
1,long,t2,16,C,distractor,0,0,0,0,0,0,0,0,0,15,15,15,,,,,2018_Oct_17_1530,1001,rsvp,r2,59.8208707699,
,,,,,,0,0,0,0,0,0,0,0,,,,,3,0.550461139879,3,0.185461513174,2018_Oct_17_1530,1001,rsvp,r2,59.8208707699,
2,long,t2,1,4,target,0,0,0,0,1,0,1,0,0,0,0,0,,,,,2018_Oct_17_1530,1001,rsvp,r2,59.8208707699,
2,long,t2,2,A,distractor,0,0,0,0,1,0,1,0,0,1,1,1,,,,,2018_Oct_17_1530,1001,rsvp,r2,59.8208707699,
2,long,t2,3,X,distractor,0,0,0,0,1,0,1,0,0,2,2,2,,,,,2018_Oct_17_1530,1001,rsvp,r2,59.8208707699,
