block,sep_dur,Tx,trial,stimulus,cond,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,stim.thisRepN,stim.thisTrialN,stim.thisN,stim.thisIndex,usr_input_t1.keys,usr_input_t1.rt,usr_input_t2.keys,usr_input_t2.rt,date,participant,expName,run,frameRate,
1,short,t1,1,B,distractor,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
1,short,t1,2,5,target,0,0,0,0,0,0,0,0,0,1,1,1,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
1,short,t1,3,L,distractor,0,0,0,0,0,0,0,0,0,2,2,2,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
1,short,t1,4,P,distractor,0,0,0,0,0,0,0,0,0,3,3,3,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
1,short,t1,5,E,distractor,0,0,0,0,0,0,0,0,0,4,4,4,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
1,short,t1,6,P,distractor,0,0,0,0,0,0,0,0,0,5,5,5,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
1,short,t1,7, ,mask,0,0,0,0,0,0,0,0,0,6,6,6,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
1,short,t1,8,R,distractor,0,0,0,0,0,0,0,0,0,7,7,7,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
1,short,t1,9,I,distractor,0,0,0,0,0,0,0,0,0,8,8,8,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
1,short,t1,10,U,distractor,0,0,0,0,0,0,0,0,0,9,9,9,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
1,short,t1,11,S,distractor,0,0,0,0,0,0,0,0,0,10,10,10,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
1,short,t1,12,E,distractor,0,0,0,0,0,0,0,0,0,11,11,11,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
1,short,t1,13,M,distractor,0,0,0,0,0,0,0,0,0,12,12,12,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
1,short,t1,14,V,distractor,0,0,0,0,0,0,0,0,0,13,13,13,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
1,short,t1,15,O,distractor,0,0,0,0,0,0,0,0,0,14,14,14,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
,,,,,,0,0,0,0,0,0,0,0,,,,,5,0.0999026423669,5,0.166290100664,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
2,short,t1,1,G,distractor,0,0,0,0,1,0,1,0,0,0,0,0,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
2,short,t1,2,D,distractor,0,0,0,0,1,0,1,0,0,1,1,1,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
2,short,t1,3,O,distractor,0,0,0,0,1,0,1,0,0,2,2,2,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
2,short,t1,4,Y,distractor,0,0,0,0,1,0,1,0,0,3,3,3,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
2,short,t1,5,B,distractor,0,0,0,0,1,0,1,0,0,4,4,4,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
2,short,t1,6,O,distractor,0,0,0,0,1,0,1,0,0,5,5,5,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
2,short,t1,7,D,distractor,0,0,0,0,1,0,1,0,0,6,6,6,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
2,short,t1,8,1,target,0,0,0,0,1,0,1,0,0,7,7,7,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
2,short,t1,9,X,distractor,0,0,0,0,1,0,1,0,0,8,8,8,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
2,short,t1,10,K,distractor,0,0,0,0,1,0,1,0,0,9,9,9,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
2,short,t1,11,D,distractor,0,0,0,0,1,0,1,0,0,10,10,10,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
2,short,t1,12,F,distractor,0,0,0,0,1,0,1,0,0,11,11,11,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
2,short,t1,13, ,mask,0,0,0,0,1,0,1,0,0,12,12,12,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
2,short,t1,14,E,distractor,0,0,0,0,1,0,1,0,0,13,13,13,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
2,short,t1,15,U,distractor,0,0,0,0,1,0,1,0,0,14,14,14,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
,,,,,,0,0,0,0,1,0,1,0,,,,,1,0.0508325341507,1,0.167901738605,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
3,short,t1,1,H,distractor,0,0,0,0,2,0,2,0,0,0,0,0,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
3,short,t1,2,U,distractor,0,0,0,0,2,0,2,0,0,1,1,1,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
3,short,t1,3,I,distractor,0,0,0,0,2,0,2,0,0,2,2,2,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
3,short,t1,4,E,distractor,0,0,0,0,2,0,2,0,0,3,3,3,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
3,short,t1,5,V,distractor,0,0,0,0,2,0,2,0,0,4,4,4,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
3,short,t1,6,V,distractor,0,0,0,0,2,0,2,0,0,5,5,5,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
3,short,t1,7,B,distractor,0,0,0,0,2,0,2,0,0,6,6,6,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
3,short,t1,8,3,target,0,0,0,0,2,0,2,0,0,7,7,7,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
3,short,t1,9,Q,distractor,0,0,0,0,2,0,2,0,0,8,8,8,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
3,short,t1,10,X,distractor,0,0,0,0,2,0,2,0,0,9,9,9,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
3,short,t1,11,Q,distractor,0,0,0,0,2,0,2,0,0,10,10,10,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
3,short,t1,12,U,distractor,0,0,0,0,2,0,2,0,0,11,11,11,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
3,short,t1,13, ,mask,0,0,0,0,2,0,2,0,0,12,12,12,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
3,short,t1,14,F,distractor,0,0,0,0,2,0,2,0,0,13,13,13,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
3,short,t1,15,M,distractor,0,0,0,0,2,0,2,0,0,14,14,14,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
